GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200003,14,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,10,17,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,18,82,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,45,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,6,49,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,34,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,68,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,4,12,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,19,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,144,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,9,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,20,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,288,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,6,10,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,19,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,399,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,10,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,9,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,443,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,7,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,26,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,486,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,4,1,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,31,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200012,29,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,8,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,1,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,185,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,9,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,1,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,264,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,0,48,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,296,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,9,55,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-35,22,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,308,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,8,39,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-68,0,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,337,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,6,22,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,350,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,5,12,Made Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,39,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,366,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,3,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20121031,POR,LAL
Shot Chart Detail,0021200012,443,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,9,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20121031,POR,LAL
Shot Chart Detail,0021200025,40,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,7,33,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,25,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,260,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,9,49,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,25,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,321,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,4,11,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,22,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,460,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,5,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,14,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200041,48,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,6,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,70,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,4,35,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,34,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,83,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,3,23,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,91,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,2,22,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-10,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,163,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,8,28,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,0,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,171,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,7,53,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,214,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,4,9,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,1,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,221,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,2,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,4,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,290,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,8,31,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,3,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,315,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,5,57,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,6,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,324,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,4,49,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,4,1,1,20121104,LAL,DET
Shot Chart Detail,0021200041,478,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,5,37,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20121104,LAL,DET
Shot Chart Detail,0021200062,36,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,9,7,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200062,67,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,5,48,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200062,187,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,7,13,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,20,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200062,258,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,1,6,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,11,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200062,304,2730,Dwight Howard,1610612747,Los Angeles Lakers,3,8,7,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,20,69,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200062,435,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,8,27,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200062,457,2730,Dwight Howard,1610612747,Los Angeles Lakers,4,6,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,1,20121107,UTA,LAL
Shot Chart Detail,0021200080,8,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,10,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,22,1,1,20121109,LAL,GSW
Shot Chart Detail,0021200080,56,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,7,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,1,20121109,LAL,GSW
Shot Chart Detail,0021200094,41,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,7,24,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20121111,LAL,SAC
Shot Chart Detail,0021200094,80,2730,Dwight Howard,1610612747,Los Angeles Lakers,1,3,44,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,7,1,1,20121111,LAL,SAC
Shot Chart Detail,0021200094,230,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,4,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,0,1,1,20121111,LAL,SAC
Shot Chart Detail,0021200094,246,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,1,53,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20121111,LAL,SAC
Shot Chart Detail,0021200094,272,2730,Dwight Howard,1610612747,Los Angeles Lakers,2,0,1,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,41,1,1,20121111,LAL,SAC
