GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200013,114,2747,JR Smith,1610612752,New York Knicks,1,0,31,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,44,1,1,20121126,BKN,NYK
Shot Chart Detail,0021200013,124,2747,JR Smith,1610612752,New York Knicks,2,10,23,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,22,1,1,20121126,BKN,NYK
Shot Chart Detail,0021200020,81,2747,JR Smith,1610612752,New York Knicks,1,2,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20121102,NYK,MIA
Shot Chart Detail,0021200020,89,2747,JR Smith,1610612752,New York Knicks,1,1,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,217,116,1,1,20121102,NYK,MIA
Shot Chart Detail,0021200020,351,2747,JR Smith,1610612752,New York Knicks,3,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,126,215,1,1,20121102,NYK,MIA
Shot Chart Detail,0021200037,125,2747,JR Smith,1610612752,New York Knicks,2,11,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,68,83,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,135,2747,JR Smith,1610612752,New York Knicks,2,9,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-179,135,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,200,2747,JR Smith,1610612752,New York Knicks,2,3,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-210,163,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,272,2747,JR Smith,1610612752,New York Knicks,3,7,3,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-168,7,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,326,2747,JR Smith,1610612752,New York Knicks,3,1,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-41,174,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,348,2747,JR Smith,1610612752,New York Knicks,4,11,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-61,241,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,356,2747,JR Smith,1610612752,New York Knicks,4,10,1,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,86,237,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200037,376,2747,JR Smith,1610612752,New York Knicks,4,8,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,0,1,1,20121104,NYK,PHI
Shot Chart Detail,0021200042,74,2747,JR Smith,1610612752,New York Knicks,1,3,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-3,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200042,166,2747,JR Smith,1610612752,New York Knicks,2,8,16,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,0,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200042,217,2747,JR Smith,1610612752,New York Knicks,2,4,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-169,227,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200042,430,2747,JR Smith,1610612752,New York Knicks,4,8,35,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200042,450,2747,JR Smith,1610612752,New York Knicks,4,6,25,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,154,-21,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200042,454,2747,JR Smith,1610612752,New York Knicks,4,5,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,203,0,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200042,468,2747,JR Smith,1610612752,New York Knicks,4,4,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-193,228,1,1,20121105,PHI,NYK
Shot Chart Detail,0021200071,65,2747,JR Smith,1610612752,New York Knicks,1,4,31,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,9,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,147,2747,JR Smith,1610612752,New York Knicks,2,9,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,6,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,170,2747,JR Smith,1610612752,New York Knicks,2,7,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-198,-18,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,288,2747,JR Smith,1610612752,New York Knicks,2,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,163,180,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,385,2747,JR Smith,1610612752,New York Knicks,3,5,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-27,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,391,2747,JR Smith,1610612752,New York Knicks,3,4,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-124,89,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,396,2747,JR Smith,1610612752,New York Knicks,3,3,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,40,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,611,2747,JR Smith,1610612752,New York Knicks,4,0,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-171,182,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200104,102,2747,JR Smith,1610612752,New York Knicks,1,0,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,0,233,1,1,20121113,ORL,NYK
Shot Chart Detail,0021200104,111,2747,JR Smith,1610612752,New York Knicks,1,0,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-202,181,1,1,20121113,ORL,NYK
Shot Chart Detail,0021200104,274,2747,JR Smith,1610612752,New York Knicks,3,9,34,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-60,127,1,1,20121113,ORL,NYK
Shot Chart Detail,0021200104,278,2747,JR Smith,1610612752,New York Knicks,3,8,18,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,56,1,1,20121113,ORL,NYK
Shot Chart Detail,0021200104,291,2747,JR Smith,1610612752,New York Knicks,3,6,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,189,154,1,1,20121113,ORL,NYK
