GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200004,3,202331,Paul George,1610612754,Indiana Pacers,1,11,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,3,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,8,202331,Paul George,1610612754,Indiana Pacers,1,11,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,14,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,38,202331,Paul George,1610612754,Indiana Pacers,1,7,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-139,55,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,68,202331,Paul George,1610612754,Indiana Pacers,1,5,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-119,53,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,76,202331,Paul George,1610612754,Indiana Pacers,1,4,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-65,97,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,222,202331,Paul George,1610612754,Indiana Pacers,2,3,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,286,202331,Paul George,1610612754,Indiana Pacers,3,10,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,11,1,1,20121031,TOR,IND
Shot Chart Detail,0021200015,19,202331,Paul George,1610612754,Indiana Pacers,1,9,53,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,228,75,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,59,202331,Paul George,1610612754,Indiana Pacers,1,5,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,9,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,246,202331,Paul George,1610612754,Indiana Pacers,2,1,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,118,118,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,404,202331,Paul George,1610612754,Indiana Pacers,3,1,8,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20121102,CHA,IND
Shot Chart Detail,0021200028,236,202331,Paul George,1610612754,Indiana Pacers,2,2,51,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,12,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,259,202331,Paul George,1610612754,Indiana Pacers,2,0,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-11,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,278,202331,Paul George,1610612754,Indiana Pacers,3,10,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20121103,IND,SAC
