GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300006,76,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,4,5,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,316,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,10,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,328,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,8,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,142,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,339,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,138,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,436,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,9,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-131,131,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,522,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,2,34,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,26,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300023,34,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,9,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-5,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,66,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,0,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,34,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,72,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,5,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-228,82,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,284,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,10,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,111,164,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,330,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,6,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,174,129,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,354,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,4,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-116,175,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,373,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,2,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,217,131,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,388,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,1,16,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,58,184,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,394,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,26,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,50,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,435,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,7,54,Made Shot,Driving Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,143,52,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,444,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,6,56,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-90,181,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,464,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,166,113,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,470,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,1,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300023,509,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,1,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-21,179,1,1,20131101,ATL,TOR
Shot Chart Detail,0021300037,87,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,2,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-164,-3,1,1,20131102,MIL,TOR
