GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300012,3,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,11,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,3,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,10,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,10,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,84,230,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,31,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,8,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-149,145,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,241,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,2,3,52,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-125,23,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,292,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,165,94,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,458,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,4,9,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,95,227,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,555,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,4,2,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,21,247,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300012,562,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,4,1,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-10,247,1,1,20131030,DAL,ATL
Shot Chart Detail,0021300025,40,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,8,4,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-106,14,1,1,20131101,HOU,DAL
Shot Chart Detail,0021300025,126,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,2,18,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,92,63,1,1,20131101,HOU,DAL
