GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300015,18,201609,Goran Dragic,1610612756,Phoenix Suns,1,9,30,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-7,165,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,51,201609,Goran Dragic,1610612756,Phoenix Suns,1,6,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-2,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,56,201609,Goran Dragic,1610612756,Phoenix Suns,1,5,36,Made Shot,Fadeaway Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,14,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,109,201609,Goran Dragic,1610612756,Phoenix Suns,1,1,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,215,201609,Goran Dragic,1610612756,Phoenix Suns,2,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,6,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,249,201609,Goran Dragic,1610612756,Phoenix Suns,3,11,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,45,179,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,271,201609,Goran Dragic,1610612756,Phoenix Suns,3,8,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,15,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,331,201609,Goran Dragic,1610612756,Phoenix Suns,3,2,27,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,4,176,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,453,201609,Goran Dragic,1610612756,Phoenix Suns,4,3,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,470,201609,Goran Dragic,1610612756,Phoenix Suns,4,2,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,110,143,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,476,201609,Goran Dragic,1610612756,Phoenix Suns,4,2,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,154,-19,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,499,201609,Goran Dragic,1610612756,Phoenix Suns,4,0,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,4,1,1,20131030,PHX,POR
Shot Chart Detail,0021300030,79,201609,Goran Dragic,1610612756,Phoenix Suns,1,4,36,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,42,56,1,1,20131101,PHX,UTA
Shot Chart Detail,0021300030,84,201609,Goran Dragic,1610612756,Phoenix Suns,1,4,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,135,67,1,1,20131101,PHX,UTA
Shot Chart Detail,0021300044,25,201609,Goran Dragic,1610612756,Phoenix Suns,1,9,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-153,52,1,1,20131103,OKC,PHX
Shot Chart Detail,0021300044,83,201609,Goran Dragic,1610612756,Phoenix Suns,1,3,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-117,74,1,1,20131103,OKC,PHX
Shot Chart Detail,0021300044,116,201609,Goran Dragic,1610612756,Phoenix Suns,1,1,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,103,82,1,1,20131103,OKC,PHX
Shot Chart Detail,0021300044,137,201609,Goran Dragic,1610612756,Phoenix Suns,2,9,51,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,83,145,1,1,20131103,OKC,PHX
Shot Chart Detail,0021300044,279,201609,Goran Dragic,1610612756,Phoenix Suns,3,10,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20131103,OKC,PHX
