GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300009,8,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,10,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-30,93,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,15,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,9,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,47,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,6,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,31,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,62,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,5,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,251,202689,Kemba Walker,1610612766,Charlotte Bobcats,2,2,19,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,65,64,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300020,47,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,6,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,133,118,1,1,20131101,CHA,CLE
Shot Chart Detail,0021300020,73,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,4,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,95,228,1,1,20131101,CHA,CLE
Shot Chart Detail,0021300020,104,202689,Kemba Walker,1610612766,Charlotte Bobcats,1,1,17,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,28,63,1,1,20131101,CHA,CLE
Shot Chart Detail,0021300020,208,202689,Kemba Walker,1610612766,Charlotte Bobcats,2,4,46,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20131101,CHA,CLE
Shot Chart Detail,0021300020,387,202689,Kemba Walker,1610612766,Charlotte Bobcats,3,1,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,111,228,1,1,20131101,CHA,CLE
