GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400020,42,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,19,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,147,-10,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,97,101108,Chris Paul,1610612746,Los Angeles Clippers,1,3,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,268,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,26,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,19,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,320,101108,Chris Paul,1610612746,Los Angeles Clippers,3,7,20,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,40,126,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,350,101108,Chris Paul,1610612746,Los Angeles Clippers,3,4,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-111,-2,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,371,101108,Chris Paul,1610612746,Los Angeles Clippers,3,2,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,100,91,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,456,101108,Chris Paul,1610612746,Los Angeles Clippers,4,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,53,257,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,469,101108,Chris Paul,1610612746,Los Angeles Clippers,4,6,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,490,101108,Chris Paul,1610612746,Los Angeles Clippers,4,4,44,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,44,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400026,10,101108,Chris Paul,1610612746,Los Angeles Clippers,1,10,49,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-8,74,1,1,20141031,LAL,LAC
Shot Chart Detail,0021400026,100,101108,Chris Paul,1610612746,Los Angeles Clippers,1,1,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-6,1,1,20141031,LAL,LAC
