GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400123,130,203506,Victor Oladipo,1610612753,Orlando Magic,1,0,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-54,244,1,1,20141114,ORL,MIL
Shot Chart Detail,0021400123,376,203506,Victor Oladipo,1610612753,Orlando Magic,3,3,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,20141114,ORL,MIL
Shot Chart Detail,0021400123,378,203506,Victor Oladipo,1610612753,Orlando Magic,3,2,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-149,107,1,1,20141114,ORL,MIL
Shot Chart Detail,0021400132,205,203506,Victor Oladipo,1610612753,Orlando Magic,2,5,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,69,170,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400132,332,203506,Victor Oladipo,1610612753,Orlando Magic,3,5,4,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,114,42,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400132,413,203506,Victor Oladipo,1610612753,Orlando Magic,4,7,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-5,195,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400132,437,203506,Victor Oladipo,1610612753,Orlando Magic,4,4,17,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,14,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400132,454,203506,Victor Oladipo,1610612753,Orlando Magic,4,2,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,0,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400132,473,203506,Victor Oladipo,1610612753,Orlando Magic,4,0,35,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-24,129,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400132,499,203506,Victor Oladipo,1610612753,Orlando Magic,4,0,6,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5,1,1,20141115,WAS,ORL
Shot Chart Detail,0021400150,76,203506,Victor Oladipo,1610612753,Orlando Magic,1,3,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20141117,DET,ORL
Shot Chart Detail,0021400150,308,203506,Victor Oladipo,1610612753,Orlando Magic,3,6,23,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,15,1,1,20141117,DET,ORL
Shot Chart Detail,0021400150,355,203506,Victor Oladipo,1610612753,Orlando Magic,3,1,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,168,74,1,1,20141117,DET,ORL
Shot Chart Detail,0021400161,201,203506,Victor Oladipo,1610612753,Orlando Magic,2,4,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,25,1,1,20141119,ORL,LAC
Shot Chart Detail,0021400161,334,203506,Victor Oladipo,1610612753,Orlando Magic,3,5,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141119,ORL,LAC
Shot Chart Detail,0021400161,370,203506,Victor Oladipo,1610612753,Orlando Magic,3,1,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,24,82,1,1,20141119,ORL,LAC
Shot Chart Detail,0021400172,35,203506,Victor Oladipo,1610612753,Orlando Magic,1,7,55,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,74,1,1,20141121,CHA,ORL
Shot Chart Detail,0021400172,62,203506,Victor Oladipo,1610612753,Orlando Magic,1,4,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,138,93,1,1,20141121,CHA,ORL
