GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500017,8,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,1,10,36,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,31,1,1,20151028,LAL,MIN
Shot Chart Detail,0021500017,390,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,3,3,55,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-129,120,1,1,20151028,LAL,MIN
Shot Chart Detail,0021500029,44,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,1,6,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,16,1,1,20151030,DEN,MIN
Shot Chart Detail,0021500029,263,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,2,2,34,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,21,1,1,20151030,DEN,MIN
Shot Chart Detail,0021500029,372,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,3,5,57,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,1,20151030,DEN,MIN
Shot Chart Detail,0021500029,377,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,3,5,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20151030,DEN,MIN
Shot Chart Detail,0021500029,575,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,4,2,35,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-178,51,1,1,20151030,DEN,MIN
Shot Chart Detail,0021500050,18,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,1,9,43,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,MIN,POR
Shot Chart Detail,0021500050,200,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,2,5,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20151102,MIN,POR
Shot Chart Detail,0021500050,213,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,2,4,19,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,MIN,POR
Shot Chart Detail,0021500050,286,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,3,9,28,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,31,1,1,20151102,MIN,POR
Shot Chart Detail,0021500050,492,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,4,5,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,23,1,1,20151102,MIN,POR
Shot Chart Detail,0021500071,4,203952,Andrew Wiggins,1610612750,Minnesota Timberwolves,1,11,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,26,1,1,20151105,MIN,MIA
