GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500005,167,202738,Isaiah Thomas,1610612738,Boston Celtics,2,8,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-12,62,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,170,202738,Isaiah Thomas,1610612738,Boston Celtics,2,8,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,250,202738,Isaiah Thomas,1610612738,Boston Celtics,2,2,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-11,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,335,202738,Isaiah Thomas,1610612738,Boston Celtics,3,7,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,340,202738,Isaiah Thomas,1610612738,Boston Celtics,3,7,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,365,202738,Isaiah Thomas,1610612738,Boston Celtics,3,5,14,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,396,202738,Isaiah Thomas,1610612738,Boston Celtics,3,2,25,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,64,105,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,423,202738,Isaiah Thomas,1610612738,Boston Celtics,3,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,174,188,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,478,202738,Isaiah Thomas,1610612738,Boston Celtics,4,7,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,-10,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500005,544,202738,Isaiah Thomas,1610612738,Boston Celtics,4,2,59,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-42,120,1,1,20151028,BOS,PHI
Shot Chart Detail,0021500024,77,202738,Isaiah Thomas,1610612738,Boston Celtics,1,5,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,172,202738,Isaiah Thomas,1610612738,Boston Celtics,2,10,42,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-45,75,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,267,202738,Isaiah Thomas,1610612738,Boston Celtics,2,4,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,153,213,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,323,202738,Isaiah Thomas,1610612738,Boston Celtics,2,1,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,484,202738,Isaiah Thomas,1610612738,Boston Celtics,3,0,51,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,486,202738,Isaiah Thomas,1610612738,Boston Celtics,3,0,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500024,591,202738,Isaiah Thomas,1610612738,Boston Celtics,4,2,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20151030,BOS,TOR
Shot Chart Detail,0021500040,83,202738,Isaiah Thomas,1610612738,Boston Celtics,1,3,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,2,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,429,202738,Isaiah Thomas,1610612738,Boston Celtics,3,1,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,445,202738,Isaiah Thomas,1610612738,Boston Celtics,4,11,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,451,202738,Isaiah Thomas,1610612738,Boston Celtics,4,10,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,237,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500060,34,202738,Isaiah Thomas,1610612738,Boston Celtics,1,8,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,159,75,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,192,202738,Isaiah Thomas,1610612738,Boston Celtics,2,7,7,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,71,23,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,202,202738,Isaiah Thomas,1610612738,Boston Celtics,2,6,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-1,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,218,202738,Isaiah Thomas,1610612738,Boston Celtics,2,5,3,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,282,202738,Isaiah Thomas,1610612738,Boston Celtics,2,0,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,61,262,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,328,202738,Isaiah Thomas,1610612738,Boston Celtics,3,9,30,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,460,202738,Isaiah Thomas,1610612738,Boston Celtics,4,8,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-106,232,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,528,202738,Isaiah Thomas,1610612738,Boston Celtics,4,3,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,191,159,1,1,20151104,IND,BOS
Shot Chart Detail,0021500060,530,202738,Isaiah Thomas,1610612738,Boston Celtics,4,2,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-11,1,1,20151104,IND,BOS
Shot Chart Detail,0021500076,81,202738,Isaiah Thomas,1610612738,Boston Celtics,1,3,59,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20151106,BOS,WAS
Shot Chart Detail,0021500076,98,202738,Isaiah Thomas,1610612738,Boston Celtics,1,2,13,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,0,1,1,20151106,BOS,WAS
Shot Chart Detail,0021500076,106,202738,Isaiah Thomas,1610612738,Boston Celtics,1,1,17,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-68,244,1,1,20151106,BOS,WAS
Shot Chart Detail,0021500076,109,202738,Isaiah Thomas,1610612738,Boston Celtics,1,0,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,3,1,1,20151106,BOS,WAS
Shot Chart Detail,0021500076,329,202738,Isaiah Thomas,1610612738,Boston Celtics,3,6,55,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20151106,BOS,WAS
Shot Chart Detail,0021500110,139,202738,Isaiah Thomas,1610612738,Boston Celtics,2,9,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-191,195,1,1,20151110,MIL,BOS
Shot Chart Detail,0021500110,208,202738,Isaiah Thomas,1610612738,Boston Celtics,2,3,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,-1,1,1,20151110,MIL,BOS
Shot Chart Detail,0021500110,412,202738,Isaiah Thomas,1610612738,Boston Celtics,4,9,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,19,151,1,1,20151110,MIL,BOS
Shot Chart Detail,0021500110,432,202738,Isaiah Thomas,1610612738,Boston Celtics,4,7,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20151110,MIL,BOS
Shot Chart Detail,0021500110,472,202738,Isaiah Thomas,1610612738,Boston Celtics,4,3,53,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-132,116,1,1,20151110,MIL,BOS
Shot Chart Detail,0021500110,483,202738,Isaiah Thomas,1610612738,Boston Celtics,4,3,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,-5,1,1,20151110,MIL,BOS
