GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500013,9,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,11,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-83,134,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,43,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,8,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-120,90,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,71,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,5,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,71,164,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,223,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,3,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,261,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,11,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,126,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,488,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,58,237,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500022,9,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,10,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-127,110,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,50,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,6,8,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,76,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,4,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-58,159,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,100,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,2,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-181,57,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,156,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,9,37,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,212,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,5,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,235,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,2,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,86,120,1,1,20151030,ORL,OKC
