GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500002,308,2200,Pau Gasol,1610612741,Chicago Bulls,3,9,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,148,75,1,1,20151027,CHI,CLE
Shot Chart Detail,0021500006,24,2200,Pau Gasol,1610612741,Chicago Bulls,1,8,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-122,111,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,33,2200,Pau Gasol,1610612741,Chicago Bulls,1,6,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,105,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,137,2200,Pau Gasol,1610612741,Chicago Bulls,2,9,22,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-17,56,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,171,2200,Pau Gasol,1610612741,Chicago Bulls,2,5,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,2,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,177,2200,Pau Gasol,1610612741,Chicago Bulls,2,4,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,24,190,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,209,2200,Pau Gasol,1610612741,Chicago Bulls,2,2,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,9,188,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500006,526,2200,Pau Gasol,1610612741,Chicago Bulls,4,2,24,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,-6,1,1,20151028,BKN,CHI
Shot Chart Detail,0021500025,4,2200,Pau Gasol,1610612741,Chicago Bulls,1,11,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,3,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,24,2200,Pau Gasol,1610612741,Chicago Bulls,1,9,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,49,2200,Pau Gasol,1610612741,Chicago Bulls,1,7,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,173,2200,Pau Gasol,1610612741,Chicago Bulls,2,7,37,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,16,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,301,2200,Pau Gasol,1610612741,Chicago Bulls,3,7,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,320,2200,Pau Gasol,1610612741,Chicago Bulls,3,6,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,36,1,1,20151030,DET,CHI
Shot Chart Detail,0021500025,593,2200,Pau Gasol,1610612741,Chicago Bulls,5,0,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20151030,DET,CHI
Shot Chart Detail,0021500043,26,2200,Pau Gasol,1610612741,Chicago Bulls,1,8,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,20,174,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,30,2200,Pau Gasol,1610612741,Chicago Bulls,1,8,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,45,2200,Pau Gasol,1610612741,Chicago Bulls,1,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-37,175,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,55,2200,Pau Gasol,1610612741,Chicago Bulls,1,5,15,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,3,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,281,2200,Pau Gasol,1610612741,Chicago Bulls,3,10,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,295,2200,Pau Gasol,1610612741,Chicago Bulls,3,9,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-14,149,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,483,2200,Pau Gasol,1610612741,Chicago Bulls,4,2,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-11,154,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500053,27,2200,Pau Gasol,1610612741,Chicago Bulls,1,7,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,27,195,1,1,20151103,CHA,CHI
Shot Chart Detail,0021500053,43,2200,Pau Gasol,1610612741,Chicago Bulls,1,6,4,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,13,1,1,20151103,CHA,CHI
Shot Chart Detail,0021500053,231,2200,Pau Gasol,1610612741,Chicago Bulls,2,0,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-153,87,1,1,20151103,CHA,CHI
Shot Chart Detail,0021500053,262,2200,Pau Gasol,1610612741,Chicago Bulls,3,9,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20151103,CHA,CHI
Shot Chart Detail,0021500053,270,2200,Pau Gasol,1610612741,Chicago Bulls,3,7,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,67,1,1,20151103,CHA,CHI
Shot Chart Detail,0021500053,300,2200,Pau Gasol,1610612741,Chicago Bulls,3,5,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,26,1,1,20151103,CHA,CHI
Shot Chart Detail,0021500070,10,2200,Pau Gasol,1610612741,Chicago Bulls,1,9,45,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,2,1,1,20151105,CHI,OKC
Shot Chart Detail,0021500070,49,2200,Pau Gasol,1610612741,Chicago Bulls,1,5,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-2,154,1,1,20151105,CHI,OKC
Shot Chart Detail,0021500070,75,2200,Pau Gasol,1610612741,Chicago Bulls,1,2,35,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,36,1,1,20151105,CHI,OKC
Shot Chart Detail,0021500070,465,2200,Pau Gasol,1610612741,Chicago Bulls,4,4,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,46,185,1,1,20151105,CHI,OKC
Shot Chart Detail,0021500070,493,2200,Pau Gasol,1610612741,Chicago Bulls,4,0,38,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,46,1,1,20151105,CHI,OKC
Shot Chart Detail,0021500085,18,2200,Pau Gasol,1610612741,Chicago Bulls,1,9,59,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,56,1,1,20151107,CHI,MIN
Shot Chart Detail,0021500085,50,2200,Pau Gasol,1610612741,Chicago Bulls,1,7,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-74,139,1,1,20151107,CHI,MIN
