GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600002,7,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,53,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,242,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,68,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,18,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,91,144,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,180,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,4,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,211,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-38,249,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,225,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,228,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,4,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-1,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,263,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,9,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,269,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,42,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,272,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20161025,POR,UTA
Shot Chart Detail,0021600002,391,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,7,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20161025,POR,UTA
