GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600008,50,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,6,47,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,92,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,59,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,103,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,11,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,112,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,1,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,213,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,4,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-192,115,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,284,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,10,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,339,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,5,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,348,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,4,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,353,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,4,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,188,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,425,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,10,14,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,444,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,1,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,508,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,3,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-189,3,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,541,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600031,2,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,11,40,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,MIL,BKN
Shot Chart Detail,0021600031,33,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,8,34,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,MIL,BKN
Shot Chart Detail,0021600031,50,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,6,10,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,MIL,BKN
Shot Chart Detail,0021600031,217,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,5,33,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,MIL,BKN
Shot Chart Detail,0021600031,230,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,4,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,1,20161029,MIL,BKN
