GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600087,33,202330,Gordon Hayward,1610612762,Utah Jazz,1,8,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,132,77,1,1,20161106,NYK,UTA
Shot Chart Detail,0021600087,228,202330,Gordon Hayward,1610612762,Utah Jazz,2,3,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-132,228,1,1,20161106,NYK,UTA
Shot Chart Detail,0021600087,265,202330,Gordon Hayward,1610612762,Utah Jazz,2,0,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,148,208,1,1,20161106,NYK,UTA
Shot Chart Detail,0021600087,364,202330,Gordon Hayward,1610612762,Utah Jazz,3,1,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20161106,NYK,UTA
Shot Chart Detail,0021600087,455,202330,Gordon Hayward,1610612762,Utah Jazz,4,4,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-14,170,1,1,20161106,NYK,UTA
Shot Chart Detail,0021600087,462,202330,Gordon Hayward,1610612762,Utah Jazz,4,3,10,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161106,NYK,UTA
Shot Chart Detail,0021600093,2,202330,Gordon Hayward,1610612762,Utah Jazz,1,11,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,150,56,1,1,20161107,PHI,UTA
Shot Chart Detail,0021600093,82,202330,Gordon Hayward,1610612762,Utah Jazz,1,4,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,133,111,1,1,20161107,PHI,UTA
Shot Chart Detail,0021600093,117,202330,Gordon Hayward,1610612762,Utah Jazz,1,2,16,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,56,1,1,20161107,PHI,UTA
Shot Chart Detail,0021600093,258,202330,Gordon Hayward,1610612762,Utah Jazz,2,3,42,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161107,PHI,UTA
Shot Chart Detail,0021600093,280,202330,Gordon Hayward,1610612762,Utah Jazz,2,1,29,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20161107,PHI,UTA
Shot Chart Detail,0021600093,360,202330,Gordon Hayward,1610612762,Utah Jazz,3,5,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,168,82,1,1,20161107,PHI,UTA
Shot Chart Detail,0021600093,374,202330,Gordon Hayward,1610612762,Utah Jazz,3,4,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,8,1,1,20161107,PHI,UTA
