GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600017,11,200755,JJ Redick,1610612746,LA Clippers,1,10,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-99,195,1,1,20161027,POR,LAC
Shot Chart Detail,0021600017,225,200755,JJ Redick,1610612746,LA Clippers,2,3,58,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,176,124,1,1,20161027,POR,LAC
Shot Chart Detail,0021600017,525,200755,JJ Redick,1610612746,LA Clippers,4,5,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,87,228,1,1,20161027,POR,LAC
Shot Chart Detail,0021600035,208,200755,JJ Redick,1610612746,LA Clippers,2,3,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-145,151,1,1,20161030,LAC,UTA
Shot Chart Detail,0021600035,269,200755,JJ Redick,1610612746,LA Clippers,3,10,51,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,11,1,1,20161030,LAC,UTA
Shot Chart Detail,0021600035,291,200755,JJ Redick,1610612746,LA Clippers,3,8,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-1,1,1,20161030,LAC,UTA
Shot Chart Detail,0021600035,464,200755,JJ Redick,1610612746,LA Clippers,4,3,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20161030,LAC,UTA
Shot Chart Detail,0021600045,12,200755,JJ Redick,1610612746,LA Clippers,1,10,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-40,208,1,1,20161031,LAC,PHX
Shot Chart Detail,0021600045,182,200755,JJ Redick,1610612746,LA Clippers,2,7,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,22,180,1,1,20161031,LAC,PHX
Shot Chart Detail,0021600045,205,200755,JJ Redick,1610612746,LA Clippers,2,5,27,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20161031,LAC,PHX
Shot Chart Detail,0021600045,248,200755,JJ Redick,1610612746,LA Clippers,2,1,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,191,51,1,1,20161031,LAC,PHX
Shot Chart Detail,0021600045,286,200755,JJ Redick,1610612746,LA Clippers,3,11,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-189,159,1,1,20161031,LAC,PHX
Shot Chart Detail,0021600045,317,200755,JJ Redick,1610612746,LA Clippers,3,8,45,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,0,106,1,1,20161031,LAC,PHX
Shot Chart Detail,0021600064,9,200755,JJ Redick,1610612746,LA Clippers,1,10,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20161102,LAC,OKC
Shot Chart Detail,0021600064,70,200755,JJ Redick,1610612746,LA Clippers,1,5,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,246,-11,1,1,20161102,LAC,OKC
Shot Chart Detail,0021600064,553,200755,JJ Redick,1610612746,LA Clippers,4,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-143,229,1,1,20161102,LAC,OKC
Shot Chart Detail,0021600074,17,200755,JJ Redick,1610612746,LA Clippers,1,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-179,92,1,1,20161104,MEM,LAC
Shot Chart Detail,0021600074,284,200755,JJ Redick,1610612746,LA Clippers,2,0,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,149,1,1,20161104,MEM,LAC
Shot Chart Detail,0021600074,324,200755,JJ Redick,1610612746,LA Clippers,3,9,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,48,62,1,1,20161104,MEM,LAC
Shot Chart Detail,0021600074,364,200755,JJ Redick,1610612746,LA Clippers,3,6,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-171,134,1,1,20161104,MEM,LAC
Shot Chart Detail,0021600086,20,200755,JJ Redick,1610612746,LA Clippers,1,9,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-6,1,1,20161105,SAS,LAC
Shot Chart Detail,0021600086,58,200755,JJ Redick,1610612746,LA Clippers,1,5,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-11,1,1,20161105,SAS,LAC
Shot Chart Detail,0021600086,63,200755,JJ Redick,1610612746,LA Clippers,1,4,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-91,228,1,1,20161105,SAS,LAC
Shot Chart Detail,0021600086,192,200755,JJ Redick,1610612746,LA Clippers,2,7,2,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,2,1,1,20161105,SAS,LAC
Shot Chart Detail,0021600086,195,200755,JJ Redick,1610612746,LA Clippers,2,6,36,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,-1,1,1,20161105,SAS,LAC
Shot Chart Detail,0021600098,20,200755,JJ Redick,1610612746,LA Clippers,1,9,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,107,228,1,1,20161107,LAC,DET
Shot Chart Detail,0021600098,32,200755,JJ Redick,1610612746,LA Clippers,1,7,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-4,223,1,1,20161107,LAC,DET
Shot Chart Detail,0021600098,271,200755,JJ Redick,1610612746,LA Clippers,3,10,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-119,144,1,1,20161107,LAC,DET
