GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600015,42,202710,Jimmy Butler,1610612741,Chicago Bulls,1,7,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,-15,1,1,20161027,CHI,BOS
Shot Chart Detail,0021600015,220,202710,Jimmy Butler,1610612741,Chicago Bulls,2,4,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,45,242,1,1,20161027,CHI,BOS
Shot Chart Detail,0021600015,279,202710,Jimmy Butler,1610612741,Chicago Bulls,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,153,195,1,1,20161027,CHI,BOS
Shot Chart Detail,0021600015,315,202710,Jimmy Butler,1610612741,Chicago Bulls,3,8,2,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,-1,1,1,20161027,CHI,BOS
Shot Chart Detail,0021600015,370,202710,Jimmy Butler,1610612741,Chicago Bulls,3,3,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,141,205,1,1,20161027,CHI,BOS
Shot Chart Detail,0021600015,485,202710,Jimmy Butler,1610612741,Chicago Bulls,4,7,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,37,43,1,1,20161027,CHI,BOS
Shot Chart Detail,0021600030,14,202710,Jimmy Butler,1610612741,Chicago Bulls,1,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,21,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,75,202710,Jimmy Butler,1610612741,Chicago Bulls,1,3,32,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,28,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,93,202710,Jimmy Butler,1610612741,Chicago Bulls,1,0,42,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,184,202710,Jimmy Butler,1610612741,Chicago Bulls,2,2,31,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,69,-1,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,201,202710,Jimmy Butler,1610612741,Chicago Bulls,2,1,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,234,202710,Jimmy Butler,1610612741,Chicago Bulls,3,8,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,8,1,1,20161029,CHI,IND
Shot Chart Detail,0021600043,12,202710,Jimmy Butler,1610612741,Chicago Bulls,1,10,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-178,164,1,1,20161031,BKN,CHI
Shot Chart Detail,0021600043,14,202710,Jimmy Butler,1610612741,Chicago Bulls,1,10,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,7,1,1,20161031,BKN,CHI
Shot Chart Detail,0021600043,38,202710,Jimmy Butler,1610612741,Chicago Bulls,1,7,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-215,116,1,1,20161031,BKN,CHI
Shot Chart Detail,0021600043,58,202710,Jimmy Butler,1610612741,Chicago Bulls,1,5,30,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-1,1,1,20161031,BKN,CHI
Shot Chart Detail,0021600043,111,202710,Jimmy Butler,1610612741,Chicago Bulls,1,0,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,81,51,1,1,20161031,BKN,CHI
Shot Chart Detail,0021600043,318,202710,Jimmy Butler,1610612741,Chicago Bulls,3,6,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,78,33,1,1,20161031,BKN,CHI
Shot Chart Detail,0021600061,21,202710,Jimmy Butler,1610612741,Chicago Bulls,1,9,35,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20161102,BOS,CHI
Shot Chart Detail,0021600061,198,202710,Jimmy Butler,1610612741,Chicago Bulls,2,6,13,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,1,20161102,BOS,CHI
Shot Chart Detail,0021600061,200,202710,Jimmy Butler,1610612741,Chicago Bulls,2,5,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20161102,BOS,CHI
