GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600014,307,202322,John Wall,1610612764,Washington Wizards,2,0,2,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-1,97,1,1,20161027,ATL,WAS
Shot Chart Detail,0021600014,320,202322,John Wall,1610612764,Washington Wizards,3,10,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-92,169,1,1,20161027,ATL,WAS
Shot Chart Detail,0021600014,370,202322,John Wall,1610612764,Washington Wizards,3,6,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,55,159,1,1,20161027,ATL,WAS
Shot Chart Detail,0021600039,88,202322,John Wall,1610612764,Washington Wizards,1,4,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,23,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,178,202322,John Wall,1610612764,Washington Wizards,2,8,2,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,211,202322,John Wall,1610612764,Washington Wizards,2,4,42,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,249,202322,John Wall,1610612764,Washington Wizards,2,1,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,257,202322,John Wall,1610612764,Washington Wizards,2,0,58,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,3,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,323,202322,John Wall,1610612764,Washington Wizards,3,6,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,71,160,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,433,202322,John Wall,1610612764,Washington Wizards,4,7,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,66,151,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,461,202322,John Wall,1610612764,Washington Wizards,4,5,1,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-165,-1,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600055,13,202322,John Wall,1610612764,Washington Wizards,1,10,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,61,202322,John Wall,1610612764,Washington Wizards,1,4,37,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,31,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,67,202322,John Wall,1610612764,Washington Wizards,1,3,39,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,146,202322,John Wall,1610612764,Washington Wizards,2,8,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,201,202322,John Wall,1610612764,Washington Wizards,2,4,13,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,255,202322,John Wall,1610612764,Washington Wizards,2,0,4,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,289,202322,John Wall,1610612764,Washington Wizards,3,8,44,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,420,202322,John Wall,1610612764,Washington Wizards,4,8,22,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-6,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,426,202322,John Wall,1610612764,Washington Wizards,4,7,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,444,202322,John Wall,1610612764,Washington Wizards,4,6,45,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,463,202322,John Wall,1610612764,Washington Wizards,4,5,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,502,202322,John Wall,1610612764,Washington Wizards,4,1,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,28,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600055,509,202322,John Wall,1610612764,Washington Wizards,4,1,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,1,20161102,WAS,TOR
Shot Chart Detail,0021600070,240,202322,John Wall,1610612764,Washington Wizards,2,3,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,138,116,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600070,247,202322,John Wall,1610612764,Washington Wizards,2,3,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-63,159,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600070,283,202322,John Wall,1610612764,Washington Wizards,2,1,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-109,149,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600070,292,202322,John Wall,1610612764,Washington Wizards,2,0,32,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-142,38,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600070,326,202322,John Wall,1610612764,Washington Wizards,3,10,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-99,234,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600070,560,202322,John Wall,1610612764,Washington Wizards,4,6,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600070,615,202322,John Wall,1610612764,Washington Wizards,4,3,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,3,1,1,20161104,WAS,ATL
Shot Chart Detail,0021600094,42,202322,John Wall,1610612764,Washington Wizards,1,8,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,45,202322,John Wall,1610612764,Washington Wizards,1,7,55,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,53,202322,John Wall,1610612764,Washington Wizards,1,6,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,9,185,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,93,202322,John Wall,1610612764,Washington Wizards,1,3,44,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,198,202322,John Wall,1610612764,Washington Wizards,2,6,54,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,333,202322,John Wall,1610612764,Washington Wizards,3,8,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,7,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,369,202322,John Wall,1610612764,Washington Wizards,3,4,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-112,247,1,1,20161107,WAS,HOU
Shot Chart Detail,0021600094,380,202322,John Wall,1610612764,Washington Wizards,3,3,31,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-16,185,1,1,20161107,WAS,HOU
