GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600009,47,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,6,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600009,54,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,5,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,107,232,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600009,201,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,5,48,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,19,56,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600009,204,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,5,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,36,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600009,222,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-135,11,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600009,511,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,2,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,33,65,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600009,535,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,0,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,92,80,1,1,20161026,MEM,MIN
Shot Chart Detail,0021600028,70,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,4,31,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,33,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,273,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,0,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-5,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,304,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,11,48,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,46,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,516,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,3,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,3,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,578,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,1,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,139,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600039,8,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,11,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,15,252,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,198,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,6,37,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,89,115,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,314,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,7,2,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,26,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,519,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,0,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-189,198,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,547,201188,Marc Gasol,1610612763,Memphis Grizzlies,5,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-202,164,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600039,557,201188,Marc Gasol,1610612763,Memphis Grizzlies,5,1,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-38,244,1,1,20161030,MEM,WAS
Shot Chart Detail,0021600060,35,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,8,26,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,40,80,1,1,20161102,MEM,NOP
Shot Chart Detail,0021600060,225,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,1,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-140,75,1,1,20161102,MEM,NOP
Shot Chart Detail,0021600060,539,201188,Marc Gasol,1610612763,Memphis Grizzlies,5,2,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,252,1,1,20161102,MEM,NOP
Shot Chart Detail,0021600074,42,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,6,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,37,183,1,1,20161104,MEM,LAC
Shot Chart Detail,0021600074,317,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,10,27,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-4,95,1,1,20161104,MEM,LAC
