GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600008,212,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,4,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-210,169,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,365,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,2,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600022,101,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-210,139,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,273,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,2,11,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,79,7,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,287,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,1,1,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,79,65,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,523,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,2,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-156,193,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600027,23,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,8,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,223,1,1,20161029,CHA,BOS
Shot Chart Detail,0021600027,86,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,2,31,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,28,154,1,1,20161029,CHA,BOS
Shot Chart Detail,0021600027,409,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,0,7,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,33,61,1,1,20161029,CHA,BOS
Shot Chart Detail,0021600056,245,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,2,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,229,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600056,309,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,10,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-127,205,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600056,335,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,7,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-101,237,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600056,343,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,6,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,107,149,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600056,359,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,4,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,61,101,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600056,371,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,3,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,161,198,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600056,388,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,1,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-2,1,1,20161102,CHA,PHI
Shot Chart Detail,0021600072,16,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,10,42,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-96,41,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600072,25,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,9,53,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-6,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600072,84,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,4,19,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,-6,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600072,114,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,1,51,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,18,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600072,123,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,0,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-9,244,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600072,237,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,1,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-106,228,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600072,371,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,1,44,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161104,BKN,CHA
Shot Chart Detail,0021600095,8,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,10,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-96,237,1,1,20161107,CHA,IND
Shot Chart Detail,0021600095,77,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,4,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,179,61,1,1,20161107,CHA,IND
Shot Chart Detail,0021600108,41,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,7,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-48,183,1,1,20161109,CHA,UTA
Shot Chart Detail,0021600108,287,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,7,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20161109,CHA,UTA
Shot Chart Detail,0021600108,311,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,4,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,63,169,1,1,20161109,CHA,UTA
Shot Chart Detail,0021600123,114,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,1,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600123,274,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,11,36,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600123,302,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,8,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,164,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600123,306,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,7,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-24,242,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600123,359,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,4,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-153,162,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600123,393,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,1,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600123,543,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,0,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-53,262,1,1,20161111,CHA,TOR
Shot Chart Detail,0021600140,87,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,4,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-1,154,1,1,20161113,CLE,CHA
Shot Chart Detail,0021600140,237,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,2,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-43,129,1,1,20161113,CLE,CHA
Shot Chart Detail,0021600140,320,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,6,19,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,6,110,1,1,20161113,CLE,CHA
Shot Chart Detail,0021600140,375,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,1,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,-5,1,1,20161113,CLE,CHA
