GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600004,199,201586,Serge Ibaka,1610612753,Orlando Magic,2,7,4,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,61,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,242,201586,Serge Ibaka,1610612753,Orlando Magic,2,4,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-9,257,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,271,201586,Serge Ibaka,1610612753,Orlando Magic,2,2,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,380,201586,Serge Ibaka,1610612753,Orlando Magic,3,5,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-61,242,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,474,201586,Serge Ibaka,1610612753,Orlando Magic,4,9,35,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,541,201586,Serge Ibaka,1610612753,Orlando Magic,4,2,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-138,41,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600020,128,201586,Serge Ibaka,1610612753,Orlando Magic,2,10,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-150,110,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,266,201586,Serge Ibaka,1610612753,Orlando Magic,3,9,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,31,1,1,20161028,DET,ORL
Shot Chart Detail,0021600029,3,201586,Serge Ibaka,1610612753,Orlando Magic,1,11,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20161029,CLE,ORL
Shot Chart Detail,0021600029,15,201586,Serge Ibaka,1610612753,Orlando Magic,1,10,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,CLE,ORL
