GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021700004,255,202711,Bojan Bogdanović,1610612754,Indiana Pacers,2,5,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20171018,IND,BKN
Shot Chart Detail,0021700004,366,202711,Bojan Bogdanović,1610612754,Indiana Pacers,3,10,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,58,1,1,20171018,IND,BKN
Shot Chart Detail,0021700004,382,202711,Bojan Bogdanović,1610612754,Indiana Pacers,3,9,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20171018,IND,BKN
Shot Chart Detail,0021700004,425,202711,Bojan Bogdanović,1610612754,Indiana Pacers,3,7,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,10,1,1,20171018,IND,BKN
Shot Chart Detail,0021700004,637,202711,Bojan Bogdanović,1610612754,Indiana Pacers,4,5,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,8,1,1,20171018,IND,BKN
Shot Chart Detail,0021700018,15,202711,Bojan Bogdanović,1610612754,Indiana Pacers,1,10,50,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20171020,IND,POR
Shot Chart Detail,0021700018,39,202711,Bojan Bogdanović,1610612754,Indiana Pacers,1,7,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20171020,IND,POR
Shot Chart Detail,0021700018,239,202711,Bojan Bogdanović,1610612754,Indiana Pacers,2,4,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,190,176,1,1,20171020,IND,POR
Shot Chart Detail,0021700018,280,202711,Bojan Bogdanović,1610612754,Indiana Pacers,2,1,35,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,17,1,1,20171020,IND,POR
Shot Chart Detail,0021700029,43,202711,Bojan Bogdanović,1610612754,Indiana Pacers,1,8,46,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-62,142,1,1,20171021,MIA,IND
Shot Chart Detail,0021700029,58,202711,Bojan Bogdanović,1610612754,Indiana Pacers,1,7,37,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21,1,1,20171021,MIA,IND
Shot Chart Detail,0021700029,257,202711,Bojan Bogdanović,1610612754,Indiana Pacers,2,3,31,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-66,84,1,1,20171021,MIA,IND
Shot Chart Detail,0021700052,19,202711,Bojan Bogdanović,1610612754,Indiana Pacers,1,10,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,207,1,1,20171024,MIN,IND
Shot Chart Detail,0021700052,37,202711,Bojan Bogdanović,1610612754,Indiana Pacers,1,9,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-2,176,1,1,20171024,MIN,IND
