GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021700012,25,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,31,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,74,104,1,1,20171018,PHX,POR
Shot Chart Detail,0021700012,96,1626164,Devin Booker,1610612756,Phoenix Suns,1,4,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20171018,PHX,POR
Shot Chart Detail,0021700012,106,1626164,Devin Booker,1610612756,Phoenix Suns,1,3,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,46,1,1,20171018,PHX,POR
Shot Chart Detail,0021700012,187,1626164,Devin Booker,1610612756,Phoenix Suns,2,10,14,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,65,113,1,1,20171018,PHX,POR
Shot Chart Detail,0021700012,257,1626164,Devin Booker,1610612756,Phoenix Suns,2,5,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-140,136,1,1,20171018,PHX,POR
Shot Chart Detail,0021700012,377,1626164,Devin Booker,1610612756,Phoenix Suns,3,9,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,4,1,1,20171018,PHX,POR
Shot Chart Detail,0021700026,24,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20171020,PHX,LAL
Shot Chart Detail,0021700026,61,1626164,Devin Booker,1610612756,Phoenix Suns,1,8,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,113,237,1,1,20171020,PHX,LAL
Shot Chart Detail,0021700026,94,1626164,Devin Booker,1610612756,Phoenix Suns,1,6,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,28,1,1,20171020,PHX,LAL
Shot Chart Detail,0021700026,238,1626164,Devin Booker,1610612756,Phoenix Suns,2,9,1,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,85,246,1,1,20171020,PHX,LAL
Shot Chart Detail,0021700026,286,1626164,Devin Booker,1610612756,Phoenix Suns,2,4,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-124,-9,1,1,20171020,PHX,LAL
Shot Chart Detail,0021700026,312,1626164,Devin Booker,1610612756,Phoenix Suns,2,3,34,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,17,1,1,20171020,PHX,LAL
