GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021700008,233,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,8,55,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,17,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700008,300,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,3,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-95,87,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700025,27,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,10,20,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171020,NOP,GSW
Shot Chart Detail,0021700025,50,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,7,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,220,1,1,20171020,NOP,GSW
Shot Chart Detail,0021700025,88,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,5,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,49,1,1,20171020,NOP,GSW
Shot Chart Detail,0021700025,540,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,2,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,15,1,1,20171020,NOP,GSW
Shot Chart Detail,0021700025,657,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,6,14,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,17,1,1,20171020,NOP,GSW
Shot Chart Detail,0021700040,18,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,10,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,29,1,1,20171022,LAL,NOP
Shot Chart Detail,0021700040,60,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,7,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20171022,LAL,NOP
Shot Chart Detail,0021700040,105,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,4,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,1,20171022,LAL,NOP
Shot Chart Detail,0021700040,143,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,1,54,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-38,123,1,1,20171022,LAL,NOP
Shot Chart Detail,0021700040,146,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,1,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,10,1,1,20171022,LAL,NOP
Shot Chart Detail,0021700040,577,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,6,32,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-53,162,1,1,20171022,LAL,NOP
Shot Chart Detail,0021700053,20,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,10,30,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,13,1,1,20171024,POR,NOP
Shot Chart Detail,0021700053,323,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,1,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,8,20,1,1,20171024,POR,NOP
Shot Chart Detail,0021700053,441,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,5,24,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,14,47,1,1,20171024,POR,NOP
Shot Chart Detail,0021700053,480,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,2,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20171024,POR,NOP
Shot Chart Detail,0021700053,623,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,4,49,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-82,236,1,1,20171024,POR,NOP
Shot Chart Detail,0021700069,37,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,8,47,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700069,116,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,2,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,21,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700069,213,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,9,7,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-78,80,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700069,380,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,9,51,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,40,108,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700069,397,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,7,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,131,218,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700069,428,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,4,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,30,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700069,449,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,2,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,209,138,1,1,20171026,SAC,NOP
Shot Chart Detail,0021700077,23,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,9,52,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,41,4,1,1,20171028,NOP,CLE
