GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800010,102,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,4,4,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,27,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800010,121,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,3,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800010,256,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,6,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,-1,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800010,319,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,1,56,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,-13,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800010,547,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,8,55,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800010,595,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,6,7,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-102,68,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800010,663,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,2,41,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,1,20181017,SAS,MIN
Shot Chart Detail,0021800034,14,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,10,48,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-87,7,1,1,20181020,POR,SAS
Shot Chart Detail,0021800034,175,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,10,30,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,33,1,1,20181020,POR,SAS
Shot Chart Detail,0021800034,209,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,7,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,5,1,1,20181020,POR,SAS
Shot Chart Detail,0021800034,379,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,5,52,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,26,1,1,20181020,POR,SAS
Shot Chart Detail,0021800034,510,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,8,31,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,11,1,1,20181020,POR,SAS
Shot Chart Detail,0021800034,531,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,6,59,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181020,POR,SAS
Shot Chart Detail,0021800048,21,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,9,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,7,227,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,43,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,7,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-48,200,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,60,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,5,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-22,176,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,219,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,7,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,43,117,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,303,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,2,26,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,374,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,11,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-13,153,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,401,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,9,51,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,404,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,9,29,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,44,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,450,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,6,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,18,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,470,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,4,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,27,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,493,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,3,42,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-84,34,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,605,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,7,31,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,0,88,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800048,684,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,1,10,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20181022,LAL,SAS
Shot Chart Detail,0021800058,19,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,9,47,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,80,32,1,1,20181024,SAS,IND
Shot Chart Detail,0021800058,35,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,7,30,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-3,50,1,1,20181024,SAS,IND
Shot Chart Detail,0021800058,68,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,3,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,31,1,1,20181024,SAS,IND
Shot Chart Detail,0021800058,250,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,3,13,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,3,34,1,1,20181024,SAS,IND
Shot Chart Detail,0021800058,489,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,8,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20181024,SAS,IND
Shot Chart Detail,0021800082,11,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,10,58,Made Shot,Hook Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,-1,1,1,20181027,SAS,LAL
Shot Chart Detail,0021800082,36,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,8,10,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,67,-8,1,1,20181027,SAS,LAL
Shot Chart Detail,0021800082,43,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,7,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-6,1,1,20181027,SAS,LAL
Shot Chart Detail,0021800082,104,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,3,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-4,1,1,20181027,SAS,LAL
Shot Chart Detail,0021800082,252,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,6,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20181027,SAS,LAL
Shot Chart Detail,0021800082,362,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,10,15,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,21,1,1,20181027,SAS,LAL
