GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800012,242,203999,Nikola Jokić,1610612743,Denver Nuggets,2,6,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,12,1,1,20181017,LAC,DEN
Shot Chart Detail,0021800012,279,203999,Nikola Jokić,1610612743,Denver Nuggets,2,4,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,5,1,1,20181017,LAC,DEN
Shot Chart Detail,0021800012,314,203999,Nikola Jokić,1610612743,Denver Nuggets,2,1,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,10,1,1,20181017,LAC,DEN
Shot Chart Detail,0021800012,366,203999,Nikola Jokić,1610612743,Denver Nuggets,3,11,19,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181017,LAC,DEN
Shot Chart Detail,0021800012,666,203999,Nikola Jokić,1610612743,Denver Nuggets,4,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-67,237,1,1,20181017,LAC,DEN
Shot Chart Detail,0021800012,689,203999,Nikola Jokić,1610612743,Denver Nuggets,4,1,24,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181017,LAC,DEN
Shot Chart Detail,0021800033,23,203999,Nikola Jokić,1610612743,Denver Nuggets,1,10,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,6,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,25,203999,Nikola Jokić,1610612743,Denver Nuggets,1,9,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,13,252,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,33,203999,Nikola Jokić,1610612743,Denver Nuggets,1,8,45,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-3,36,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,81,203999,Nikola Jokić,1610612743,Denver Nuggets,1,5,23,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,52,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,106,203999,Nikola Jokić,1610612743,Denver Nuggets,1,3,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,11,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,256,203999,Nikola Jokić,1610612743,Denver Nuggets,2,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,13,247,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,263,203999,Nikola Jokić,1610612743,Denver Nuggets,2,5,51,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,58,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,448,203999,Nikola Jokić,1610612743,Denver Nuggets,3,6,44,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,476,203999,Nikola Jokić,1610612743,Denver Nuggets,3,5,1,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,0,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,491,203999,Nikola Jokić,1610612743,Denver Nuggets,3,3,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,115,219,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800033,635,203999,Nikola Jokić,1610612743,Denver Nuggets,4,6,25,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,11,1,1,20181020,DEN,PHX
Shot Chart Detail,0021800038,60,203999,Nikola Jokić,1610612743,Denver Nuggets,1,7,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800038,293,203999,Nikola Jokić,1610612743,Denver Nuggets,2,5,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-71,151,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800038,362,203999,Nikola Jokić,1610612743,Denver Nuggets,2,0,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800038,437,203999,Nikola Jokić,1610612743,Denver Nuggets,3,8,24,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,11,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800038,583,203999,Nikola Jokić,1610612743,Denver Nuggets,4,10,21,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-27,64,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800038,602,203999,Nikola Jokić,1610612743,Denver Nuggets,4,8,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,152,74,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800038,669,203999,Nikola Jokić,1610612743,Denver Nuggets,4,2,54,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,41,1,1,20181021,DEN,GSW
Shot Chart Detail,0021800051,81,203999,Nikola Jokić,1610612743,Denver Nuggets,1,5,59,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,14,29,1,1,20181023,DEN,SAC
Shot Chart Detail,0021800051,117,203999,Nikola Jokić,1610612743,Denver Nuggets,1,2,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,1,20181023,DEN,SAC
Shot Chart Detail,0021800051,134,203999,Nikola Jokić,1610612743,Denver Nuggets,1,1,9,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,17,1,1,20181023,DEN,SAC
Shot Chart Detail,0021800051,241,203999,Nikola Jokić,1610612743,Denver Nuggets,2,5,50,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,16,1,1,20181023,DEN,SAC
