GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800008,36,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,9,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,11,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,56,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,7,44,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-19,41,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,233,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,7,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,12,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,257,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,6,9,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,8,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,407,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,8,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,9,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,427,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,6,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800019,79,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,5,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20181019,TOR,BOS
Shot Chart Detail,0021800019,339,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,11,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,38,1,1,20181019,TOR,BOS
Shot Chart Detail,0021800027,220,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,8,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21,1,1,20181020,WAS,TOR
Shot Chart Detail,0021800027,255,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,6,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,24,1,1,20181020,WAS,TOR
Shot Chart Detail,0021800027,580,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,9,25,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,1,20181020,WAS,TOR
Shot Chart Detail,0021800027,612,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,7,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,27,1,1,20181020,WAS,TOR
Shot Chart Detail,0021800041,24,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,9,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20181022,TOR,CHA
Shot Chart Detail,0021800041,418,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,3,33,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,1,20181022,TOR,CHA
Shot Chart Detail,0021800055,14,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,10,36,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,29,1,1,20181024,TOR,MIN
Shot Chart Detail,0021800055,61,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,6,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,95,39,1,1,20181024,TOR,MIN
Shot Chart Detail,0021800055,73,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,5,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,11,1,1,20181024,TOR,MIN
Shot Chart Detail,0021800055,406,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,5,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-7,1,1,20181024,TOR,MIN
Shot Chart Detail,0021800069,55,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,7,25,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20181026,TOR,DAL
Shot Chart Detail,0021800069,82,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,5,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,10,1,1,20181026,TOR,DAL
Shot Chart Detail,0021800069,501,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,11,37,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,5,1,1,20181026,TOR,DAL
Shot Chart Detail,0021800069,614,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,3,36,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,1,20181026,TOR,DAL
Shot Chart Detail,0021800092,15,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,10,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,55,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,7,14,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,13,38,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,72,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,5,49,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,243,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,7,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,255,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,6,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,324,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,1,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,7,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,339,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,11,24,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,414,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,4,48,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,9,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,548,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,8,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-2,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800092,573,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,7,23,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,1,1,1,20181029,MIL,TOR
Shot Chart Detail,0021800100,99,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,4,53,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,1,1,1,20181030,TOR,PHI
Shot Chart Detail,0021800100,263,1627783,Pascal Siakam,1610612761,Toronto Raptors,2,6,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,15,1,1,20181030,TOR,PHI
Shot Chart Detail,0021800100,423,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,9,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20181030,TOR,PHI
