GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800002,10,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,31,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,226,90,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,58,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,57,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,63,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,131,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,29,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,145,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,8,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,293,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-204,195,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,368,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,418,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,47,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,25,281,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,470,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,5,282,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,537,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,11,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,14,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,654,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800002,724,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,38,171,1,1,20181016,GSW,OKC
Shot Chart Detail,0021800024,35,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-82,141,1,1,20181019,UTA,GSW
Shot Chart Detail,0021800024,120,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,39,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,16,-160,0,1,1,20181019,UTA,GSW
