GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900007,11,1628389,Bam Adebayo,1610612748,Miami Heat,1,11,5,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,220,1628389,Bam Adebayo,1610612748,Miami Heat,2,9,42,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,14,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,294,1628389,Bam Adebayo,1610612748,Miami Heat,2,5,11,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900026,74,1628389,Bam Adebayo,1610612748,Miami Heat,1,6,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,8,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,87,1628389,Bam Adebayo,1610612748,Miami Heat,1,6,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-30,101,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,90,1628389,Bam Adebayo,1610612748,Miami Heat,1,5,30,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-57,130,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,263,1628389,Bam Adebayo,1610612748,Miami Heat,2,5,34,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,37,81,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,605,1628389,Bam Adebayo,1610612748,Miami Heat,4,8,2,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,14,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900039,9,1628389,Bam Adebayo,1610612748,Miami Heat,1,11,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,16,1,1,20191027,MIN,MIA
Shot Chart Detail,0021900039,349,1628389,Bam Adebayo,1610612748,Miami Heat,3,11,46,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-10,78,1,1,20191027,MIN,MIA
Shot Chart Detail,0021900039,379,1628389,Bam Adebayo,1610612748,Miami Heat,3,9,7,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20191027,MIN,MIA
Shot Chart Detail,0021900039,387,1628389,Bam Adebayo,1610612748,Miami Heat,3,7,47,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-33,48,1,1,20191027,MIN,MIA
Shot Chart Detail,0021900039,413,1628389,Bam Adebayo,1610612748,Miami Heat,3,6,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20191027,MIN,MIA
Shot Chart Detail,0021900039,642,1628389,Bam Adebayo,1610612748,Miami Heat,4,1,1,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20191027,MIN,MIA
Shot Chart Detail,0021900052,13,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-3,61,1,1,20191029,MIA,ATL
Shot Chart Detail,0021900052,29,1628389,Bam Adebayo,1610612748,Miami Heat,1,8,57,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-59,46,1,1,20191029,MIA,ATL
Shot Chart Detail,0021900052,449,1628389,Bam Adebayo,1610612748,Miami Heat,3,5,44,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-34,69,1,1,20191029,MIA,ATL
Shot Chart Detail,0021900052,554,1628389,Bam Adebayo,1610612748,Miami Heat,4,10,37,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,8,1,1,20191029,MIA,ATL
Shot Chart Detail,0021900066,25,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,11,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,17,1,1,20191031,ATL,MIA
