GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900012,30,1627741,Buddy Hield,1610612758,Sacramento Kings,1,9,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-74,211,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,41,1627741,Buddy Hield,1610612758,Sacramento Kings,1,8,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-155,200,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,72,1627741,Buddy Hield,1610612758,Sacramento Kings,1,6,1,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,15,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,80,1627741,Buddy Hield,1610612758,Sacramento Kings,1,5,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,87,239,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,232,1627741,Buddy Hield,1610612758,Sacramento Kings,2,7,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,6,190,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,266,1627741,Buddy Hield,1610612758,Sacramento Kings,2,4,48,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,195,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,293,1627741,Buddy Hield,1610612758,Sacramento Kings,2,3,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,5,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,305,1627741,Buddy Hield,1610612758,Sacramento Kings,2,2,39,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-225,75,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,443,1627741,Buddy Hield,1610612758,Sacramento Kings,3,5,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,6,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900012,610,1627741,Buddy Hield,1610612758,Sacramento Kings,4,7,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-157,214,1,1,20191023,PHX,SAC
Shot Chart Detail,0021900024,89,1627741,Buddy Hield,1610612758,Sacramento Kings,1,4,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,21,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,97,1627741,Buddy Hield,1610612758,Sacramento Kings,1,4,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-203,157,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,249,1627741,Buddy Hield,1610612758,Sacramento Kings,2,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-36,256,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,280,1627741,Buddy Hield,1610612758,Sacramento Kings,2,3,28,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-106,120,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,303,1627741,Buddy Hield,1610612758,Sacramento Kings,2,0,50,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-76,70,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,385,1627741,Buddy Hield,1610612758,Sacramento Kings,3,5,44,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,191,169,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,614,1627741,Buddy Hield,1610612758,Sacramento Kings,4,4,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,15,1,1,20191025,SAC,POR
Shot Chart Detail,0021900034,7,1627741,Buddy Hield,1610612758,Sacramento Kings,1,11,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-21,250,1,1,20191026,UTA,SAC
Shot Chart Detail,0021900050,574,1627741,Buddy Hield,1610612758,Sacramento Kings,4,7,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,26,1,1,20191028,SAC,DEN
Shot Chart Detail,0021900050,617,1627741,Buddy Hield,1610612758,Sacramento Kings,4,5,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-223,128,1,1,20191028,SAC,DEN
Shot Chart Detail,0021900064,77,1627741,Buddy Hield,1610612758,Sacramento Kings,1,6,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,86,1627741,Buddy Hield,1610612758,Sacramento Kings,1,4,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,134,216,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,108,1627741,Buddy Hield,1610612758,Sacramento Kings,1,3,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-228,95,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,344,1627741,Buddy Hield,1610612758,Sacramento Kings,3,11,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,172,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,498,1627741,Buddy Hield,1610612758,Sacramento Kings,4,10,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-57,267,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,588,1627741,Buddy Hield,1610612758,Sacramento Kings,4,3,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-183,174,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,605,1627741,Buddy Hield,1610612758,Sacramento Kings,4,1,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,221,27,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900064,609,1627741,Buddy Hield,1610612758,Sacramento Kings,4,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-237,100,1,1,20191030,SAC,CHA
Shot Chart Detail,0021900075,9,1627741,Buddy Hield,1610612758,Sacramento Kings,1,11,34,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,102,133,1,1,20191101,SAC,UTA
Shot Chart Detail,0021900075,81,1627741,Buddy Hield,1610612758,Sacramento Kings,1,6,19,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,-3,1,1,20191101,SAC,UTA
Shot Chart Detail,0021900075,108,1627741,Buddy Hield,1610612758,Sacramento Kings,1,3,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,27,142,1,1,20191101,SAC,UTA
Shot Chart Detail,0021900075,295,1627741,Buddy Hield,1610612758,Sacramento Kings,2,1,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,31,1,1,20191101,SAC,UTA
