GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900013,53,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,8,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,199,1,1,20191023,POR,DEN
Shot Chart Detail,0021900013,64,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,7,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20191023,POR,DEN
Shot Chart Detail,0021900013,85,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,5,46,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,5,1,1,20191023,POR,DEN
Shot Chart Detail,0021900013,508,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,11,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,42,1,1,20191023,POR,DEN
Shot Chart Detail,0021900013,690,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,0,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20191023,POR,DEN
Shot Chart Detail,0021900024,296,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,1,33,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,4,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,304,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,0,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-105,10,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,329,203468,CJ McCollum,1610612757,Portland Trail Blazers,3,10,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,343,203468,CJ McCollum,1610612757,Portland Trail Blazers,3,9,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,148,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,411,203468,CJ McCollum,1610612757,Portland Trail Blazers,3,4,43,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,21,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,573,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,6,57,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-22,79,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,617,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,192,89,1,1,20191025,SAC,POR
Shot Chart Detail,0021900024,621,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,3,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,252,1,1,20191025,SAC,POR
Shot Chart Detail,0021900038,28,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,9,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-109,75,1,1,20191027,DAL,POR
Shot Chart Detail,0021900038,49,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,7,16,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,4,1,1,20191027,DAL,POR
Shot Chart Detail,0021900038,98,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,4,12,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,143,1,1,20191027,DAL,POR
Shot Chart Detail,0021900038,203,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,9,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20191027,DAL,POR
Shot Chart Detail,0021900038,205,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,9,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-27,164,1,1,20191027,DAL,POR
Shot Chart Detail,0021900038,208,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,8,48,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,55,209,1,1,20191027,DAL,POR
