GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900007,63,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,1,7,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-98,47,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,74,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,1,6,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,188,173,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900007,453,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,3,8,19,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,16,1,1,20191023,MIA,MEM
Shot Chart Detail,0021900020,441,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,3,6,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-184,167,1,1,20191025,MEM,CHI
Shot Chart Detail,0021900020,653,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,4,3,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,0,1,1,20191025,MEM,CHI
Shot Chart Detail,0021900037,52,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,1,7,14,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-94,60,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,328,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,2,3,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-36,62,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,344,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,2,1,56,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,237,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,406,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,3,10,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,14,155,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,452,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,3,7,28,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-174,127,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,458,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,3,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,183,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,630,1628415,Dillon Brooks,1610612763,Memphis Grizzlies,4,9,13,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,35,94,1,1,20191027,MEM,BKN
