GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900005,11,203095,Evan Fournier,1610612753,Orlando Magic,1,11,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,27,256,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,33,203095,Evan Fournier,1610612753,Orlando Magic,1,8,25,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,277,203095,Evan Fournier,1610612753,Orlando Magic,2,4,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-126,225,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,298,203095,Evan Fournier,1610612753,Orlando Magic,2,2,37,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,70,76,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,308,203095,Evan Fournier,1610612753,Orlando Magic,2,1,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,32,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,392,203095,Evan Fournier,1610612753,Orlando Magic,3,7,13,Made Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-89,41,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,411,203095,Evan Fournier,1610612753,Orlando Magic,3,5,9,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-27,119,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900028,19,203095,Evan Fournier,1610612753,Orlando Magic,1,10,26,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,106,232,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,92,203095,Evan Fournier,1610612753,Orlando Magic,1,4,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,13,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,278,203095,Evan Fournier,1610612753,Orlando Magic,2,4,31,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,35,93,1,1,20191026,ATL,ORL
