GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900015,330,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,3,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1,20191024,HOU,MIL
Shot Chart Detail,0021900015,348,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,2,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,39,1,1,20191024,HOU,MIL
Shot Chart Detail,0021900015,680,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,6,34,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-71,261,1,1,20191024,HOU,MIL
Shot Chart Detail,0021900015,727,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,3,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-3,264,1,1,20191024,HOU,MIL
Shot Chart Detail,0021900026,38,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,9,44,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,98,129,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,48,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,8,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-75,250,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,54,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,8,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-145,222,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,68,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,7,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,231,124,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,433,203114,Khris Middleton,1610612749,Milwaukee Bucks,3,8,54,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,43,84,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,487,203114,Khris Middleton,1610612749,Milwaukee Bucks,3,3,42,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,62,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900026,716,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,0,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,1,1,1,20191026,MIL,MIA
Shot Chart Detail,0021900046,49,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,8,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-160,218,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,95,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,4,26,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-12,120,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,235,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,7,43,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,427,203114,Khris Middleton,1610612749,Milwaukee Bucks,3,5,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,2,147,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,443,203114,Khris Middleton,1610612749,Milwaukee Bucks,3,4,2,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,74,40,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,596,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,5,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,616,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,4,35,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-236,9,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,630,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,3,7,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,14,101,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900046,633,203114,Khris Middleton,1610612749,Milwaukee Bucks,4,2,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,62,1,1,20191028,MIL,CLE
Shot Chart Detail,0021900058,22,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,10,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,112,96,1,1,20191030,BOS,MIL
Shot Chart Detail,0021900058,38,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,8,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-148,225,1,1,20191030,BOS,MIL
