GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900002,151,101150,Lou Williams,1610612746,LA Clippers,1,2,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,5,164,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,258,101150,Lou Williams,1610612746,LA Clippers,2,5,30,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,56,137,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,306,101150,Lou Williams,1610612746,LA Clippers,2,2,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,34,166,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,343,101150,Lou Williams,1610612746,LA Clippers,2,0,32,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-154,258,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,419,101150,Lou Williams,1610612746,LA Clippers,3,6,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-12,68,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,428,101150,Lou Williams,1610612746,LA Clippers,3,6,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-133,169,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,515,101150,Lou Williams,1610612746,LA Clippers,4,11,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-192,94,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,592,101150,Lou Williams,1610612746,LA Clippers,4,5,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900016,92,101150,Lou Williams,1610612746,LA Clippers,1,4,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,14,255,1,1,20191024,GSW,LAC
Shot Chart Detail,0021900016,96,101150,Lou Williams,1610612746,LA Clippers,1,4,23,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,38,1,1,20191024,GSW,LAC
Shot Chart Detail,0021900016,352,101150,Lou Williams,1610612746,LA Clippers,2,0,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,142,117,1,1,20191024,GSW,LAC
Shot Chart Detail,0021900016,533,101150,Lou Williams,1610612746,LA Clippers,3,1,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,4,50,1,1,20191024,GSW,LAC
Shot Chart Detail,0021900016,609,101150,Lou Williams,1610612746,LA Clippers,4,7,43,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,134,136,1,1,20191024,GSW,LAC
Shot Chart Detail,0021900035,195,101150,Lou Williams,1610612746,LA Clippers,1,0,6,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,148,77,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900035,370,101150,Lou Williams,1610612746,LA Clippers,2,0,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-53,247,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900035,464,101150,Lou Williams,1610612746,LA Clippers,3,5,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-8,184,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900035,504,101150,Lou Williams,1610612746,LA Clippers,3,2,11,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,36,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900035,605,101150,Lou Williams,1610612746,LA Clippers,4,9,10,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900035,681,101150,Lou Williams,1610612746,LA Clippers,4,4,38,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,16,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900035,690,101150,Lou Williams,1610612746,LA Clippers,4,4,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,87,235,1,1,20191026,PHX,LAC
Shot Chart Detail,0021900051,153,101150,Lou Williams,1610612746,LA Clippers,2,11,21,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,24,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900051,286,101150,Lou Williams,1610612746,LA Clippers,2,2,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900051,414,101150,Lou Williams,1610612746,LA Clippers,3,6,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,16,216,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900051,458,101150,Lou Williams,1610612746,LA Clippers,3,3,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,32,-120,299,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900051,494,101150,Lou Williams,1610612746,LA Clippers,3,0,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-210,147,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900051,633,101150,Lou Williams,1610612746,LA Clippers,4,3,9,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-120,83,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900051,639,101150,Lou Williams,1610612746,LA Clippers,4,2,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,39,1,1,20191028,LAC,CHA
Shot Chart Detail,0021900063,15,101150,Lou Williams,1610612746,LA Clippers,1,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,89,290,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,34,101150,Lou Williams,1610612746,LA Clippers,1,8,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,54,189,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,210,101150,Lou Williams,1610612746,LA Clippers,2,6,51,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,106,115,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,273,101150,Lou Williams,1610612746,LA Clippers,2,3,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,0,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,295,101150,Lou Williams,1610612746,LA Clippers,2,1,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,11,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,333,101150,Lou Williams,1610612746,LA Clippers,3,11,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-56,185,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,371,101150,Lou Williams,1610612746,LA Clippers,3,7,2,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-34,92,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,396,101150,Lou Williams,1610612746,LA Clippers,3,5,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-90,174,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900063,399,101150,Lou Williams,1610612746,LA Clippers,3,4,39,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,20,90,1,1,20191030,UTA,LAC
Shot Chart Detail,0021900068,88,101150,Lou Williams,1610612746,LA Clippers,1,4,44,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,36,54,1,1,20191031,LAC,SAS
Shot Chart Detail,0021900068,127,101150,Lou Williams,1610612746,LA Clippers,1,1,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-96,53,1,1,20191031,LAC,SAS
Shot Chart Detail,0021900068,266,101150,Lou Williams,1610612746,LA Clippers,2,4,18,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,23,1,1,20191031,LAC,SAS
Shot Chart Detail,0021900068,554,101150,Lou Williams,1610612746,LA Clippers,4,9,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,48,1,1,20191031,LAC,SAS
Shot Chart Detail,0021900068,645,101150,Lou Williams,1610612746,LA Clippers,4,2,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,11,1,1,20191031,LAC,SAS
Shot Chart Detail,0021900090,71,101150,Lou Williams,1610612746,LA Clippers,1,6,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,1,20191103,LAC,UTA
Shot Chart Detail,0021900090,90,101150,Lou Williams,1610612746,LA Clippers,1,5,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,1,20191103,LAC,UTA
Shot Chart Detail,0021900090,208,101150,Lou Williams,1610612746,LA Clippers,2,9,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-154,43,1,1,20191103,LAC,UTA
Shot Chart Detail,0021900090,471,101150,Lou Williams,1610612746,LA Clippers,3,2,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,21,1,1,20191103,LAC,UTA
Shot Chart Detail,0021900090,527,101150,Lou Williams,1610612746,LA Clippers,4,11,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-113,53,1,1,20191103,LAC,UTA
Shot Chart Detail,0021900090,625,101150,Lou Williams,1610612746,LA Clippers,4,3,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,36,258,1,1,20191103,LAC,UTA
Shot Chart Detail,0021900111,92,101150,Lou Williams,1610612746,LA Clippers,1,4,59,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-55,79,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,304,101150,Lou Williams,1610612746,LA Clippers,2,3,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-6,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,324,101150,Lou Williams,1610612746,LA Clippers,2,2,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,48,85,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,335,101150,Lou Williams,1610612746,LA Clippers,2,1,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-82,85,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,350,101150,Lou Williams,1610612746,LA Clippers,2,0,44,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,33,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,352,101150,Lou Williams,1610612746,LA Clippers,2,0,34,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,258,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,454,101150,Lou Williams,1610612746,LA Clippers,3,6,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,-1,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,569,101150,Lou Williams,1610612746,LA Clippers,4,11,26,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,25,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900111,740,101150,Lou Williams,1610612746,LA Clippers,4,1,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-52,251,1,1,20191106,LAC,MIL
Shot Chart Detail,0021900115,127,101150,Lou Williams,1610612746,LA Clippers,1,3,19,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,179,6,1,1,20191107,LAC,POR
Shot Chart Detail,0021900115,154,101150,Lou Williams,1610612746,LA Clippers,1,1,16,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,65,1,1,20191107,LAC,POR
Shot Chart Detail,0021900115,286,101150,Lou Williams,1610612746,LA Clippers,2,3,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,10,1,1,20191107,LAC,POR
Shot Chart Detail,0021900115,319,101150,Lou Williams,1610612746,LA Clippers,2,1,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,4,1,1,20191107,LAC,POR
Shot Chart Detail,0021900115,471,101150,Lou Williams,1610612746,LA Clippers,3,3,24,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-53,42,1,1,20191107,LAC,POR
Shot Chart Detail,0021900115,656,101150,Lou Williams,1610612746,LA Clippers,4,0,58,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-3,129,1,1,20191107,LAC,POR
Shot Chart Detail,0021900115,664,101150,Lou Williams,1610612746,LA Clippers,4,0,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,185,188,1,1,20191107,LAC,POR
Shot Chart Detail,0021900145,118,101150,Lou Williams,1610612746,LA Clippers,1,3,13,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-146,96,1,1,20191111,LAC,TOR
Shot Chart Detail,0021900145,131,101150,Lou Williams,1610612746,LA Clippers,1,2,11,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,29,1,1,20191111,LAC,TOR
Shot Chart Detail,0021900145,150,101150,Lou Williams,1610612746,LA Clippers,1,0,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,28,61,1,1,20191111,LAC,TOR
