GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900005,26,202696,Nikola Vučević,1610612753,Orlando Magic,1,9,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-56,252,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,218,202696,Nikola Vučević,1610612753,Orlando Magic,2,7,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,17,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,361,202696,Nikola Vučević,1610612753,Orlando Magic,3,10,14,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,378,202696,Nikola Vučević,1610612753,Orlando Magic,3,8,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,13,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,398,202696,Nikola Vučević,1610612753,Orlando Magic,3,6,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,14,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,533,202696,Nikola Vučević,1610612753,Orlando Magic,4,8,15,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,67,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,587,202696,Nikola Vučević,1610612753,Orlando Magic,4,5,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,19,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900005,626,202696,Nikola Vučević,1610612753,Orlando Magic,4,2,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,21,1,1,20191023,ORL,CLE
Shot Chart Detail,0021900028,28,202696,Nikola Vučević,1610612753,Orlando Magic,1,9,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,13,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,80,202696,Nikola Vučević,1610612753,Orlando Magic,1,6,2,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,14,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,105,202696,Nikola Vučević,1610612753,Orlando Magic,1,3,38,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,32,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,250,202696,Nikola Vučević,1610612753,Orlando Magic,2,6,3,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-98,36,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,260,202696,Nikola Vučević,1610612753,Orlando Magic,2,5,24,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,8,115,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,592,202696,Nikola Vučević,1610612753,Orlando Magic,4,7,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,654,202696,Nikola Vučević,1610612753,Orlando Magic,4,3,30,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,44,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900044,25,202696,Nikola Vučević,1610612753,Orlando Magic,1,9,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-184,167,1,1,20191028,TOR,ORL
Shot Chart Detail,0021900056,29,202696,Nikola Vučević,1610612753,Orlando Magic,1,9,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-44,247,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,33,202696,Nikola Vučević,1610612753,Orlando Magic,1,8,55,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,35,80,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,376,202696,Nikola Vučević,1610612753,Orlando Magic,3,7,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,380,202696,Nikola Vučević,1610612753,Orlando Magic,3,7,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,3,258,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,388,202696,Nikola Vučević,1610612753,Orlando Magic,3,6,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,5,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,507,202696,Nikola Vučević,1610612753,Orlando Magic,4,8,53,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,17,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,531,202696,Nikola Vučević,1610612753,Orlando Magic,4,7,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-23,157,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900056,572,202696,Nikola Vučević,1610612753,Orlando Magic,4,3,33,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,1,20191030,ORL,NYK
Shot Chart Detail,0021900071,16,202696,Nikola Vučević,1610612753,Orlando Magic,1,11,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-114,115,1,1,20191101,ORL,MIL
Shot Chart Detail,0021900071,34,202696,Nikola Vučević,1610612753,Orlando Magic,1,9,30,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,0,131,1,1,20191101,ORL,MIL
Shot Chart Detail,0021900071,42,202696,Nikola Vučević,1610612753,Orlando Magic,1,8,24,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-20,88,1,1,20191101,ORL,MIL
Shot Chart Detail,0021900071,288,202696,Nikola Vučević,1610612753,Orlando Magic,2,3,30,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,151,109,1,1,20191101,ORL,MIL
Shot Chart Detail,0021900071,352,202696,Nikola Vučević,1610612753,Orlando Magic,3,10,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,1,20191101,ORL,MIL
Shot Chart Detail,0021900071,374,202696,Nikola Vučević,1610612753,Orlando Magic,3,8,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20191101,ORL,MIL
Shot Chart Detail,0021900079,9,202696,Nikola Vučević,1610612753,Orlando Magic,1,11,14,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,35,96,1,1,20191102,ORL,DEN
Shot Chart Detail,0021900079,13,202696,Nikola Vučević,1610612753,Orlando Magic,1,10,2,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,11,68,1,1,20191102,ORL,DEN
Shot Chart Detail,0021900079,30,202696,Nikola Vučević,1610612753,Orlando Magic,1,8,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,19,1,1,20191102,ORL,DEN
Shot Chart Detail,0021900079,59,202696,Nikola Vučević,1610612753,Orlando Magic,1,5,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,4,1,1,20191102,ORL,DEN
Shot Chart Detail,0021900079,78,202696,Nikola Vučević,1610612753,Orlando Magic,1,4,3,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,24,1,1,20191102,ORL,DEN
Shot Chart Detail,0021900079,191,202696,Nikola Vučević,1610612753,Orlando Magic,2,8,38,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,36,73,1,1,20191102,ORL,DEN
Shot Chart Detail,0021900079,243,202696,Nikola Vučević,1610612753,Orlando Magic,2,4,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,145,15,1,1,20191102,ORL,DEN
