GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100007,21,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,10,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,38,251,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,34,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,8,49,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,46,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,7,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-47,213,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,91,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,5,9,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,237,1630217,Desmond Bane,1610612763,Memphis Grizzlies,2,6,22,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,1,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,281,1630217,Desmond Bane,1610612763,Memphis Grizzlies,2,3,56,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,334,1630217,Desmond Bane,1610612763,Memphis Grizzlies,2,0,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,37,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100007,602,1630217,Desmond Bane,1610612763,Memphis Grizzlies,4,5,54,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,15,1,1,20211020,MEM,CLE
Shot Chart Detail,0022100034,13,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,11,9,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,119,215,1,1,20211023,LAC,MEM
Shot Chart Detail,0022100034,23,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,10,2,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,10,1,1,20211023,LAC,MEM
Shot Chart Detail,0022100034,42,1630217,Desmond Bane,1610612763,Memphis Grizzlies,1,7,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,190,169,1,1,20211023,LAC,MEM
Shot Chart Detail,0022100034,359,1630217,Desmond Bane,1610612763,Memphis Grizzlies,3,9,1,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-214,116,1,1,20211023,LAC,MEM
