GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100009,7,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,12,155,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,24,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,9,41,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,255,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,41,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,5,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,180,159,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,43,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,7,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,8,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,311,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,0,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,329,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,19,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-50,96,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,333,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,10,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,1,201,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100009,336,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,10,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-16,142,1,1,20211020,NOP,PHI
Shot Chart Detail,0022100021,28,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,9,59,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,31,1,1,20211022,PHI,BKN
Shot Chart Detail,0022100021,55,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,7,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,26,1,1,20211022,PHI,BKN
Shot Chart Detail,0022100021,378,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-31,254,1,1,20211022,PHI,BKN
Shot Chart Detail,0022100021,390,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,6,59,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,5,1,1,20211022,PHI,BKN
Shot Chart Detail,0022100021,404,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,5,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,154,197,1,1,20211022,PHI,BKN
Shot Chart Detail,0022100021,440,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,2,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-148,41,1,1,20211022,PHI,BKN
Shot Chart Detail,0022100038,120,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,2,21,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,49,1,1,20211024,OKC,PHI
Shot Chart Detail,0022100038,124,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,1,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,21,1,1,20211024,OKC,PHI
Shot Chart Detail,0022100038,290,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,1,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,183,1,1,20211024,OKC,PHI
