GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100011,109,203903,Jordan Clarkson,1610612762,Utah Jazz,1,2,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,16,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,134,203903,Jordan Clarkson,1610612762,Utah Jazz,1,2,15,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,64,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,185,203903,Jordan Clarkson,1610612762,Utah Jazz,2,9,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,52,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,207,203903,Jordan Clarkson,1610612762,Utah Jazz,2,8,0,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,65,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,233,203903,Jordan Clarkson,1610612762,Utah Jazz,2,6,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,63,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,560,203903,Jordan Clarkson,1610612762,Utah Jazz,4,6,34,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,147,206,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100026,128,203903,Jordan Clarkson,1610612762,Utah Jazz,1,2,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,22,1,1,20211022,SAC,UTA
Shot Chart Detail,0022100026,205,203903,Jordan Clarkson,1610612762,Utah Jazz,2,9,6,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,53,1,1,20211022,SAC,UTA
Shot Chart Detail,0022100026,236,203903,Jordan Clarkson,1610612762,Utah Jazz,2,7,34,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,14,1,1,20211022,SAC,UTA
Shot Chart Detail,0022100026,504,203903,Jordan Clarkson,1610612762,Utah Jazz,3,1,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,23,1,1,20211022,SAC,UTA
Shot Chart Detail,0022100026,533,203903,Jordan Clarkson,1610612762,Utah Jazz,3,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,170,1,1,20211022,SAC,UTA
Shot Chart Detail,0022100026,625,203903,Jordan Clarkson,1610612762,Utah Jazz,4,6,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,18,1,1,20211022,SAC,UTA
