GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100011,8,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,11,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,10,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,132,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,2,27,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,10,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,262,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,4,17,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-11,88,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,297,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,1,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,11,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,473,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,0,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,8,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,581,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,4,44,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,89,105,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100011,592,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,3,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,1,20211020,UTA,OKC
Shot Chart Detail,0022100023,86,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,5,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,6,1,1,20211022,HOU,OKC
Shot Chart Detail,0022100023,170,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,0,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1,20211022,HOU,OKC
Shot Chart Detail,0022100023,354,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,0,15,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,119,215,1,1,20211022,HOU,OKC
