GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022200005,24,1630224,Jalen Green,1610612745,Houston Rockets,1,9,51,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200005,49,1630224,Jalen Green,1610612745,Houston Rockets,1,7,43,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,5,98,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200005,64,1630224,Jalen Green,1610612745,Houston Rockets,1,6,41,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-2,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200005,286,1630224,Jalen Green,1610612745,Houston Rockets,2,2,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,96,237,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200005,335,1630224,Jalen Green,1610612745,Houston Rockets,3,9,42,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200005,357,1630224,Jalen Green,1610612745,Houston Rockets,3,7,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200005,582,1630224,Jalen Green,1610612745,Houston Rockets,4,3,30,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,65,1,1,20221019,ATL,HOU
Shot Chart Detail,0022200024,48,1630224,Jalen Green,1610612745,Houston Rockets,1,8,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20221021,HOU,MEM
Shot Chart Detail,0022200024,68,1630224,Jalen Green,1610612745,Houston Rockets,1,6,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,204,1,1,20221021,HOU,MEM
Shot Chart Detail,0022200024,76,1630224,Jalen Green,1610612745,Houston Rockets,1,5,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,59,152,1,1,20221021,HOU,MEM
