GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022300008,185,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,11,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,59,89,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,215,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,10,4,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-172,182,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,269,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,5,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,93,278,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,375,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,3,11,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-42,81,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,434,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,3,6,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,37,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,552,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,4,10,58,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,29,74,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,567,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,4,9,35,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,20,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,590,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,4,7,51,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,28,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,612,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,4,6,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,38,64,1,1,20231110,DET,PHI
Shot Chart Detail,0022300019,192,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,11,24,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,148,223,1,1,20231114,PHI,IND
Shot Chart Detail,0022300019,222,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,9,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,5,1,1,20231114,PHI,IND
Shot Chart Detail,0022300019,239,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,7,51,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,10,1,1,20231114,PHI,IND
Shot Chart Detail,0022300019,273,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,2,5,59,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20231114,PHI,IND
