GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400013,11,1629632,Coby White,1610612741,Chicago Bulls,1,10,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-64,260,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,61,1629632,Coby White,1610612741,Chicago Bulls,1,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-148,215,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,176,1629632,Coby White,1610612741,Chicago Bulls,2,11,37,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,6,149,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,398,1629632,Coby White,1610612741,Chicago Bulls,3,7,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,41,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,422,1629632,Coby White,1610612741,Chicago Bulls,3,6,4,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,430,1629632,Coby White,1610612741,Chicago Bulls,3,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-119,262,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,522,1629632,Coby White,1610612741,Chicago Bulls,3,0,34,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,169,267,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,541,1629632,Coby White,1610612741,Chicago Bulls,4,11,34,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-195,150,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400030,160,1629632,Coby White,1610612741,Chicago Bulls,1,0,0,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,86,73,1,1,20241122,CHI,ATL
Shot Chart Detail,0022400030,371,1629632,Coby White,1610612741,Chicago Bulls,3,9,57,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20241122,CHI,ATL
