GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400017,27,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,10,6,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,58,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,6,25,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,19,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,76,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,5,20,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-134,82,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,163,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,11,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,26,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,213,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,7,14,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,21,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,227,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,6,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,222,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,271,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,2,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,252,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,290,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,0,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,142,230,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,361,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,6,57,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,1,20241115,NOP,DEN
Shot Chart Detail,0022400017,522,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,7,21,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20241115,NOP,DEN
