City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Boston,Celtics,East,48-10,1,67,15,0.817,40-1,27-14,,1985-86,1986,Boston Celtics,BOS
Los Angeles,Lakers,West,47-13,1,62,20,0.756,35-6,27-14,,1985-86,1986,Los Angeles Lakers,LAL
Houston,Rockets,West,38-22,2,51,31,0.622,36-5,15-26,,1985-86,1986,Houston Rockets,HOU
Milwaukee,Bucks,East,39-19,2,57,25,0.695,33-8,24-17,,1985-86,1986,Milwaukee Bucks,MIL
Denver,Nuggets,West,34-26,3,47,35,0.573,34-7,13-28,,1985-86,1986,Denver Nuggets,DEN
Philadelphia,76ers,East,38-20,3,54,28,0.659,31-10,23-18,,1985-86,1986,Philadelphia 76ers,PHI
Atlanta,Hawks,East,35-23,4,50,32,0.61,34-7,16-25,,1985-86,1986,Atlanta Hawks,ATL
Dallas,Mavericks,West,33-27,4,44,38,0.537,26-15,18-23,,1985-86,1986,Dallas Mavericks,DAL
Utah,Jazz,West,30-30,5,42,40,0.512,27-14,15-26,,1985-86,1986,Utah Jazz,UTA
Detroit,Pistons,East,33-25,5,46,36,0.561,31-10,15-26,,1985-86,1986,Detroit Pistons,DET
New Jersey,Nets,East,26-32,6,39,43,0.476,26-15,13-28,,1985-86,1986,New Jersey Nets,
Portland,Trail Blazers,West,31-29,6,40,42,0.488,27-14,13-28,,1985-86,1986,Portland Trail Blazers,POR
Washington,Bullets,East,29-29,6,39,43,0.476,26-15,13-28,,1985-86,1986,Washington Bullets,
Sacramento,Kings,West,28-32,7,37,45,0.451,25-16,12-29,,1985-86,1986,Sacramento Kings,SAC
Chicago,Bulls,East,19-39,8,30,52,0.366,22-19,8-33,,1985-86,1986,Chicago Bulls,CHI
San Antonio,Spurs,West,25-35,8,35,47,0.427,21-20,14-27,,1985-86,1986,San Antonio Spurs,SAS
Cleveland,Cavaliers,East,19-39,9,29,53,0.354,16-25,13-28,,1985-86,1986,Cleveland Cavaliers,CLE
Los Angeles,Clippers,West,25-35,9,32,50,0.39,22-19,10-31,,1985-86,1986,Los Angeles Clippers,LAC
Phoenix,Suns,West,25-35,9,32,50,0.39,23-18,9-32,,1985-86,1986,Phoenix Suns,PHX
Indiana,Pacers,East,19-39,10,26,56,0.317,19-22,7-34,,1985-86,1986,Indiana Pacers,IND
New York,Knicks,East,14-44,11,23,59,0.28,15-26,8-33,,1985-86,1986,New York Knicks,NYK
Seattle,SuperSonics,West,23-37,11,31,51,0.378,24-17,7-34,,1985-86,1986,Seattle SuperSonics,
Golden State,Warriors,West,21-39,12,30,52,0.366,24-17,6-35,,1985-86,1986,Golden State Warriors,GSW
