Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Anthony Davis,31.0,LAL,PF,7.0,7.0,36.3,11.4,20.0,0.571,0.3,1.7,0.167,11.1,18.3,0.609,0.579,9.4,12.0,0.786,2.1,9.4,11.6,3.0,1.6,1.7,2.4,1.1,32.6,
2.0,Giannis Antetokounmpo,30.0,MIL,PF,7.0,7.0,34.4,12.4,20.1,0.617,0.0,0.4,0.0,12.4,19.7,0.63,0.617,6.1,10.9,0.566,2.4,10.4,12.9,5.7,0.6,0.6,3.1,3.7,31.0,
3.0,Jayson Tatum,26.0,BOS,SF,9.0,9.0,34.8,9.7,20.0,0.483,4.2,11.4,0.369,5.4,8.6,0.636,0.589,6.7,8.6,0.779,0.6,6.4,7.0,4.8,1.8,0.6,2.7,2.4,30.2,
4.0,Paolo Banchero,22.0,ORL,SF,5.0,5.0,36.4,9.6,19.4,0.495,2.2,6.4,0.344,7.4,13.0,0.569,0.552,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,
5.0,Nikola JokiÄ,29.0,DEN,C,8.0,8.0,37.9,10.5,19.8,0.532,2.3,4.4,0.514,8.3,15.4,0.537,0.589,5.5,6.9,0.8,4.4,9.1,13.5,11.0,1.5,1.3,4.0,2.0,28.8,
6.0,Luka DonÄiÄ,25.0,DAL,PG,8.0,8.0,36.6,9.5,23.6,0.402,3.3,9.9,0.329,6.3,13.8,0.455,0.471,6.4,8.1,0.785,0.5,7.6,8.1,8.1,1.4,0.4,2.9,3.5,28.6,
7.0,Damian Lillard,34.0,MIL,PG,8.0,8.0,36.0,8.6,18.5,0.466,3.9,10.0,0.388,4.8,8.5,0.559,0.571,7.3,8.1,0.892,0.9,3.6,4.5,6.8,0.9,0.3,2.9,2.0,28.4,
8.0,LaMelo Ball,23.0,CHO,PG,8.0,8.0,32.5,9.9,21.4,0.462,4.6,11.8,0.394,5.3,9.6,0.545,0.57,3.8,4.4,0.857,1.0,3.8,4.8,6.0,1.5,0.3,5.0,4.5,28.1,
9.0,Anthony Edwards,23.0,MIN,SG,8.0,8.0,36.9,9.9,20.5,0.482,5.1,11.1,0.461,4.8,9.4,0.507,0.607,3.1,4.8,0.658,0.5,5.4,5.9,3.4,0.8,0.5,3.0,1.9,28.0,
10.0,Kevin Durant,36.0,PHO,SF,8.0,8.0,39.0,10.1,18.4,0.551,2.6,6.3,0.42,7.5,12.1,0.619,0.622,4.9,6.0,0.813,0.1,6.6,6.8,3.4,0.8,1.4,3.6,1.8,27.8,
11.0,Tyrese Maxey,24.0,PHI,PG,7.0,7.0,39.7,9.6,23.6,0.406,3.1,11.0,0.286,6.4,12.6,0.511,0.473,5.3,6.4,0.822,0.0,3.0,3.0,3.9,1.4,0.6,2.0,2.9,27.6,
12.0,Shai Gilgeous-Alexander,26.0,OKC,SG,8.0,8.0,32.9,9.4,19.5,0.481,1.6,6.1,0.265,7.8,13.4,0.579,0.522,5.6,6.3,0.9,0.9,5.1,6.0,6.8,1.6,1.0,2.9,1.9,26.0,
13.0,RJ Barrett,24.0,TOR,SG,6.0,6.0,33.2,9.5,21.2,0.449,2.5,7.0,0.357,7.0,14.2,0.494,0.508,4.2,5.8,0.714,1.0,4.3,5.3,7.0,1.0,0.0,3.2,3.0,25.7,
14.0,Jaylen Brown,28.0,BOS,SF,6.0,6.0,36.0,8.7,21.7,0.4,2.0,7.5,0.267,6.7,14.2,0.471,0.446,6.3,7.8,0.809,1.7,5.5,7.2,3.8,1.5,0.5,2.2,2.5,25.7,
15.0,DeMar DeRozan,35.0,SAC,SG,8.0,8.0,37.6,9.3,17.5,0.529,1.0,2.6,0.381,8.3,14.9,0.555,0.557,6.1,7.0,0.875,0.6,3.4,4.0,3.9,1.9,0.5,2.1,1.5,25.6,
16.0,Jalen Brunson,28.0,NYK,PG,7.0,7.0,34.0,9.1,19.9,0.46,2.7,5.9,0.463,6.4,14.0,0.459,0.529,4.3,5.3,0.811,0.4,2.1,2.6,5.7,0.4,0.0,1.9,1.9,25.3,
17.0,Norman Powell,31.0,LAC,SG,8.0,8.0,33.4,8.9,16.8,0.53,4.1,8.5,0.485,4.8,8.3,0.576,0.653,3.1,3.6,0.862,0.3,2.1,2.4,2.4,1.1,0.3,1.9,1.6,25.0,
18.0,Cam Thomas,23.0,BRK,SG,8.0,8.0,34.0,8.3,19.5,0.423,2.4,7.8,0.306,5.9,11.8,0.5,0.484,6.0,6.5,0.923,0.5,2.6,3.1,3.1,1.0,0.0,2.5,2.0,24.9,
