Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year
1.0,Giannis Antetokounmpo,30.0,MIL,PF,11.0,11.0,35.5,13.3,21.5,0.616,0.2,0.8,0.222,13.1,20.7,0.632,0.62,6.5,10.7,0.61,2.3,9.8,12.1,5.5,0.5,1.4,2.8,3.2,33.3,,2025
2.0,Anthony Davis,31.0,LAL,C,10.0,10.0,34.8,10.3,18.4,0.56,0.8,2.0,0.4,9.5,16.4,0.579,0.582,8.8,11.0,0.8,2.1,8.7,10.8,2.8,1.2,2.1,2.3,1.6,30.2,,2025
3.0,Jayson Tatum,26.0,BOS,SF,13.0,13.0,36.1,9.4,20.1,0.467,4.2,11.0,0.378,5.2,9.1,0.576,0.571,7.2,8.9,0.81,0.5,7.2,7.6,5.6,1.5,0.6,2.9,2.6,30.2,,2025
4.0,LaMelo Ball,23.0,CHO,PG,11.0,11.0,33.5,10.5,23.4,0.447,4.9,13.1,0.375,5.5,10.3,0.54,0.553,4.1,4.8,0.849,1.0,4.0,5.0,6.3,1.4,0.3,4.5,4.0,29.9,,2025
5.0,Nikola Jokić,29.0,DEN,C,10.0,10.0,38.1,10.8,19.2,0.563,2.2,3.9,0.564,8.6,15.3,0.562,0.62,5.9,7.0,0.843,4.5,9.2,13.7,11.7,1.7,1.0,4.1,2.0,29.7,,2025
6.0,Paolo Banchero,22.0,ORL,SF,5.0,5.0,36.4,9.6,19.4,0.495,2.2,6.4,0.344,7.4,13.0,0.569,0.552,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,,2025
7.0,Luka Dončić,25.0,DAL,PG,11.0,11.0,37.9,9.9,23.6,0.419,3.2,9.9,0.321,6.7,13.7,0.49,0.487,5.5,7.0,0.792,0.5,7.6,8.1,7.9,1.5,0.4,3.3,3.2,28.5,,2025
8.0,Shai Gilgeous-Alexander,26.0,OKC,SG,12.0,12.0,33.2,9.8,19.6,0.498,1.8,5.7,0.309,8.0,13.9,0.575,0.543,6.7,7.5,0.889,0.8,4.8,5.5,6.3,1.8,1.2,2.8,1.7,27.9,,2025
9.0,Anthony Edwards,23.0,MIN,SG,12.0,12.0,36.6,9.8,21.1,0.462,4.8,11.4,0.423,4.9,9.7,0.509,0.577,3.4,4.7,0.732,0.4,4.8,5.2,3.8,1.3,0.6,3.3,2.0,27.8,,2025
10.0,Kevin Durant,36.0,PHO,SF,9.0,9.0,38.8,9.9,17.9,0.553,2.7,6.2,0.429,7.2,11.7,0.619,0.627,5.1,6.1,0.836,0.2,6.3,6.6,3.4,0.8,1.4,3.3,1.8,27.6,,2025
